title,location,description,tags,photoURL
에빗,서울 강남구,한국 식재료를 창의적으로 선보이는 파인다이닝 레스토랑,#미쉐린가이드서울2024#음식#파인다이닝,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6f8d8d31-216f-46c2-ad57-63a07b6ad7b4
서촌라운지,서울 종로구,한옥과 우리 고유 주거문화의 매력 속으로 !,#가볼래터#도심속한옥#라이프스타일#문화시설#서울#서울_여행지_추천#서울가볼만한곳#서울한옥#서촌라운지#여행구독#연인과함께#친구와함께#한옥,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0cf05f5b-6bdf-4bf0-9722-0e30d9a7cb99
서울도심등산관광센터(북악산),서울 종로구,등산 관광객들에게 관광 안내 대여 등 다양한 서비스를 제공하는 시설,#관광안내소#관광지#북악산,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d24f861f-21b3-4719-8385-1d4d31920523
"심리편집샵, 서로",서울 영등포구,서로 속에서 나를 찾는 공간,#가볼래터#강연#독립서점#서울#쇼핑#여행구독#커뮤니티,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9709e6ea-3118-4f35-9a46-15c05210a8a1
바니스튜디오 안경(명동역점),서울 중구,고품질의 안경과 컬러 콘택트 렌즈를 구경할 수 있는 곳,#명동#쇼핑#안경점,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8592e898-1ec8-4e12-a830-20884b91b025
옥경이네 건생선,서울 중구,신당동 중앙시장의 반건조 생선 구이 전문점,#반건조오징어#성시경맛집#신당동맛집#음식#중앙시장맛집,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79ca3e48-c2f1-4e9f-abda-e6242f7eea5d
영락교회,서울 중구,우리나라 최초의 대형 교회,#관광지#명동영락교회#서울대형교회#서울영락교회#중구영락교회,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ec0f2c83-1d01-4f28-83ea-686e6b165fab
애성회관 한우곰탕,서울 중구,서울 소공동의 한우곰탕 맛집,#명동한우곰탕집#소공동맛집#시청애성회관#시청한우곰탕집#애성회관#음식#한우곰탕#한우곰탕전문점,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f1336112-8728-408c-bc6d-d82a9a668871
서화,서울 중구,시청역 인근의 일본식 화로구이 전문점,#서울시청역맛집#시청고기구이집#시청화로구이#음식#화로구이,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a32cb997-434c-45ac-b062-1d427e56a535
동원집,서울 중구,"시청 인근 골목의 감자탕, 순대국 맛집",#다동감자탕집#다동맛집#무교동순대국#시청순대국맛집#음식,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1b093183-2185-4feb-9613-603432c64aed
