danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
16667,광명푸르지오,40대,여자,자가 거주,기혼,4,"지하철역 가깝고 버스 노선도 다양해서 교통 편리함. 10분이내로 2001아울렛이 위치하며, 학원 병원 약국 등 편의시설이 많이 있다. 또한 초등학교도 바로 앞에있어 초등학생 키우기에 좋음.다만 단점이라면 아파트가 언덕에 위치해서 올라갈때 좀 힘듬ㅎㅎ. 그래도 주변아파트에 비해 가격 저렴하고 좋은점이 너무 많은 아파트임.",5,7호선 철산역이 도보 10분이내로 역세권에 위치하고있다.버스 노선 다양하여 교통편 편리하다.,5,정문앞에 장을볼수있는 마트가 있고 주변에 편의시설이 많이있다.숲세권 아파트라 주변 조용하고 공기좋고 뷰가 너무좋음.아파트 뒷편으로 바로 공원이 있어 살기좋은 아파트이다.,4,"공용현관의 비밀번호로 출입이 가능하며,주차공간 여유있으며 단지 청소도 깔끔한 편. 산주변에 위치해있어 여름엔 습한편.",4,"광폭베란다로 다른아파트보다 베란다가 넓게빠졌으며, 숲세권이라 바람도 잘들어오고 시원하며 햇빛도 잘들어오는 편이다."
16667,광명푸르지오,20대,여자,자가 거주,미혼,3,"교통편리 (버스, 지하철)  인테리어 구조가 괜찮은편(확장 기준)  환경깨끗  편의점 마트 도보3분 (버스나 자가용 사용시 코스트코와 이케아)  산책로와 도덕산",5,"지하철역이 도보 빠르면 3분에서 느리면 10분 거리입니다. 그외의 버스정류장도 집 앞에 바로 있어 광명사거리나 이케아, 코스트코, 영등포 그리고 여의도 등등 가기 좋습니다. 자가용 이용에도 편리합니다.",4,"장점은 도보 5분 이내에 2001아울렛이 있고 가는길에 편의점이나 슈퍼, 시장도 있어서 합리적인 가격으로 장보기 좋습니다. 또한 상업지구가 있기에 가족 외식이나 지인들과 치킨과 맥주를 즐기기 좋습니다. 아파트 뒷쪽에는 도덕산과 산책로가 있어서 운동하기 좋습니다.   단점은 도보 5분거리에 번화가가 있어 공기가 엄청 좋진 않습니다. 아파트 뒷쪽에 도덕산이 있어 여름에 약간 습합니다. 또한 도덕산 덕인지 산새와 비둘기가 많습니다.(다만 신기하게 벌레는 거의 없네요. 여름에 모기물리는게 손에 꼽힘)",3,공용 현관이 습해서 물기가 많습니다. 저희단지만 그런지모모르겠으나 괭장히 찝찝합니다. 주차장에 차가 많은편 입니다. 그외에는 쓰레기도 없고 좋은편입니다.,3,도덕산이 있어서 그런지 여름에 습합니다. 한 여름 외에는 봄 가을 다 선선하고 쾌적합니다. 겨울에도 햇볕이 잘 들어오는 편입니다. 아파트에 화장실과 현관문 열자마자 보이는방은 방음이 잘 안됩니다. 이고흔 옆집 윗집 아이들 소리가 좀 들려요. 과한 소음은 아니라 리뷰작성하는 저는 잘 잤습니다. 하지만 새벽에 비둘기 우는 소리가 심해서 잠에서 깨는 경우는 있었습니다. (그러나 현관문 열자마자 보이는 방 외에는 방음이 잘되는 편. 특히 안방)
16667,광명푸르지오,40대,여자,자가 거주,기혼,5,교통 넓게 빠진 거실 답답하지 않게 지어졌다 지하철 병원 버스 학교 도서관 상권 백화점 마트 서울권진입 전부 추천합니다,5,지하철7호선이 있어 서울 10분내 진이비가능하며 5분거리이내에 서울권 진입 가능한 버스도 여러대 있다,5,가까운거리에 학교 음식점등이 많고 도서관등 모든것을 갖춘것 같다,4,단지내도 숲이 깔끔하고 바로 뒤 도덕산이 있어 봄 여름 가을 산책하기에 아주 좋다,4,층간 소음은 약간 있다 윗집에 어떤분이 사는가에 따라 어디를 가나 아파트는 있는것 같다
16667,광명푸르지오,50대,남자,자가 거주,기혼,5,"교통이 편리한 위치. 철산역 10분, 공기좋고 쾌적한 주거환경 약간은 언덕이지만 공기좋고 살기좋은 아파트.추천합니다.",5,7호선 철산역 10분이면 OK.강남구청역까지 36분 걸립니다.,5,큰 장 볼때는 킴스클럽.가까운 마트 많아요.영화를 좋아해서 cgv 주말 조조 맨앞좌석 앉아보면 정말 행복하죠.,5,"청소, 주차관리, 불편한걸 전혀 못느낄정도로 관리가 잘되고있는 아파트입니다. 조경도 빼어납니다. 한번 구경해보세요.",5,공기좋고 도덕산 산보 좋아요. 유일한 단점은 언덕이라 평지보다 많이 걷는다는거.
16667,광명푸르지오,20대,남자,전세 또는 월세,미혼,5,"주변에 지하철이 있으며, 버스정류장까지의 거리도 가깝고 편의시설 마저 가깝다. 내부시설도 좋고 층간소음도 없고 택배나 치안으로 얼굴 붉힐일이 없다.",5,"근처에 버스정류장까지의 거리가 3분도 안걸리고(뛰어서), 지하철역도 가까이에 있어서 교통이 편리하다. 굳이 차로 왓다갓다할필요없다",5,"근처에 편의점이라든지 마트, 여러 편의시설이 있으며 놀이터가 있고 잘꾸며낫다. 음.. 솔직히 좋아서 더이상 적을게없다",5,아파트 자체를 들어오는데 거주자만 가능하며 택배는 경비실에 맡겨준다. 경비아저씨도 친절하고 음.. 그냥 다좋다 걱정할필요없다,4,여름엔 시원하고 겨울엔 음.. 적당하다. 층간소음은 없고(내가 내려나?) 뭔가 조용하다. 중요 경기가 있는날만 조금씩 들린다
16667,광명푸르지오,20대,여자,자가 거주,미혼,5,주변이 많이 발달됐기 때문에 교통시설 편의시설 등을 이용하기 쉬우며 아파트에 식물이 많아 단지를 돌아다닐 때마다 상쾌한 냄새가 난다,5,집 앞만 나오면 바로 버스 정류장을 쉽게 이용할 수 있다 철산역 근처에 있어서 지하철 역까지 많이 걸어가지 않아도 돼서 좋다,4,편의점은 집 앞 5분 거리 안에 많이 있다 그리고 도보 10분 이내로 도착할 수 있는 아울렛이 있어서 장보기도 편하며 상업지구와 가까워 여가생활을 마음껏 누릴 수 있다,5,청소는 매일 청소하시는 분이 아파트 단지를 청소 해 주시며 엘레베이터에서 청소하는 모습도 자주 볼 수 있다,5,산 근처에 있어서 창문을 열면 바로 좋은 공기를 마실 수 있고 여름에도 비교적 시원함을 유지할 수 있다 에어컨을 사용하지 않아도 될 정도로
16667,광명푸르지오,40대,남자,전세 또는 월세,기혼,4,근처에 마트나 음식점들이 많이 있어서 추천합니다 제가 가장고려했던 부분이고요. 내부 외부 깔끔해서 만족할 수준입니다. 층간소음은 다소 있지만 심한편은 아니고요. 그래서 저는 제 주관적인 평가로 4점입니다,4,주변에 버스들도 잘 다니고 특히 주변곳곳들을 돌아다닙니다. 자가용은 크게 안가지고 다녀도될만큼 이동하기 편리하고 용이한 위치에 자리잡고있어요 하지만 그 주변만 그렇고 단지를 벗어나면 자가용이 아마 필요할듯해요,4,근처에 마트들도 있고 입구에 조금만 더가면 대형마트들이 많습니다. 그리고 단지내 나무들도 있고 주변보다 쾌적한 느낌이 듭니다. 살기좋아요,4,주차장은 다소 복잡합니다. 차량들이 많이 있어요 그에 반해 주차장이 협소한 편이죠. 택배는 관리실에서 잘보관해줘서 내가 없더라도 안심하고 밑길수 있어요,3,아파트에 층간소음이 좀 있어요. 아파트에 살면 없는 집은 없겠지만 좀 있네요. 햇빛은 잘들어서 좋아요. 평수도 한세대가 살기 좋아요
16667,광명푸르지오,20대,여자,자가 거주,미혼,3,적당히 살기는 좋은집이나 굉장히 쾌적함과 풍요로움을 느끼고 싶은 마음이라면 비추천함,3,광명중심지에 있어서 교통이 편리하지만 광명사거리에있는 시장으로 내려갈려면 버스를 타야해서 좀 불편감이 없지않아 있었다,4,단지에 나무가 많아 자연의 느낌을 많이느낄 수 있었고 아파트에서 좀만 가다보면 실내체육관이 있어서 편리하다,5,단지에 쓰레기가 별로없어 청소를 깨끗이 하는게 보였고 주민들도 참된 마음을 지닌것같아 거주민으로써 뿌듯함,4,햇빛이 잘드는 창가도있지만 아파트들 사이에 가려져 햇빛이 잘 안드는 창문도 있어서 아쉬움이 있다
16667,광명푸르지오,20대,여자,자가 거주,미혼,3,"살기 정말 좋다. 일단 전철역이랑 가까운 게 가장 큰 메리트다. 그리고 단지 내부도 아주 깔끔하고, 집 안 구조도 잘 뚫려있다. 공원이ㅣ 많아서 산책하기 좋은 게 나로썬 아주 만족스럽다.",3,"철산역까지 한정거장이지만, 걸어가기이는 멀다. 그래도 철산역까지 가는 버스가 많아서 다행이다. 별로 기다리지 않고 버스를 타고 철산역까지 빠르게 도착할 수 있다. 서울로 가는 버스들도 있다.",4,광명 코스트코까지 차타고 15분 걸린다. 가는 도로가 뻥 잘 뚫여있어서 시간이 단축되는 기분이다. 그리고 공원이 많아서 앉아서 수다떨고 재미를 많이 볼 수 있다. 편의점도 24시여서 아주 편하다.,3,"관리비가 조금 비싼 편이다. 부모님이 내시지만, 내가 누리는 거에 비해 너무 과한 관리비라고 생각한다. 택배를 가끔씩 경비아저씨들이 보관해준다. 그 점은 아주 감사하다.",3,베란다가 넓다. 바람이 많이 들어오고 밖에 구경할 풍경도 많다. 우리집 위치가 좋아서 산도 보인다. 근데 겨울에 많이 추워서 난방을 많이 튼다
16667,광명푸르지오,40대,남자,전세 또는 월세,기혼,2,"역세권에 위치한 아파트로 7호선 타기에는 정말 빠르고 좋다. 철산동 학군이 좋아 사람들이 선호하는것 같다.   하지만 아파트만 생각한다면 노부모가 계시거나, 갓난아기 가 있는 세대라면 직접 와서 체험을 해봐야한다. 높은 경사의 아파트 단지라 실제로 경사를 올라가보면 알 수 있다.  주변에 아파트 시세보다 저렴한 이유는 이때문일것 이다. 그래도 적응을 한다면 역세권근처에 깨끗한  아파트라고 생각을 한다. 조만간 주변에 GS자이 재개발이 시작 예정이다.",4,"지하철역 도보 5분이내거리이고 , 서해안고속도로 접근이 10분내로 가능하다.",2,"철산역 앞에 킴스클럽, 2001아울렛이 있어 장을보기에 편리하다.  하지만 번화가 근처라 공기는 좋지 않는거 같고, 유흥가가 있어 조용하고 한적한 느낌은 없다.    지하철역에서 5분거리로 가까우나 아파트가 구 도로에 위치하여 아파트까지 걸어가는 주변의 환경이 그리 좋은편은 아니다. 좁은 골목을 지나 오르막까지 도달을 해야 아파트입구를 만나게 된다.    아파트가 경사가 있기 때문에 윗 동에 사는 사람들은 힘이 들수 있다. 여름엔 덥고, 겨울엔 미끄럽고 조심해야한다.",3,대체적으로 깨끗하고 정리 잘되어 있다. 분리수거를 주말에 하는것은 마음에 든다.  관리비는 저렴한편은 아닌거 같다. 중간이상인듯하다.,2,"남향이라서 해가 잘 들어올것 같았지만, 일부 세대만 해를 보는거 같고, 옆동의 기역자형태로 가로 막아서 일조권을 방해한다.   층간소음은 크게 있지 않는거 같다. 산아래에 위치해서 시원한 편이다."
