danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
50182,래미안목동아델리체,20대,남자,자가 거주,미혼,5,신축 아파트라서 헬스장 독서실 등등 커뮤니티도 활성화 되어있고 전반적으로 큰 불만 없이 살 수 있는 아파트. 목동 학원가도 가까워 아이들 교육에도 좋을듯. 비행기 소음에 대해서는 걱정 안해도 될듯. 전반적으로 추천.,5,2호선 신정네거리역 도보 2분거리로 출퇴근 매우 편리. 여의도까지 지하철로 25분정도 걸림. 자가용은 출퇴근시간에는 밀리는 편,4,신정네거리역 앞 홈플러스 및 음식점 카페 등 편의시설 다수. 이마트 백화점은 차량으로 5분거리. 신트리 공원 및 계남 근린공원이 도보 5분 내에 있어 산책하기 좋음. 다만 신정네거리역에서 내려 아파트까지 들어오는 길이 좁다는 것이 흠이라고 봄. 큰 길이라기보다는 골목에 가까운 길임,5,관리사무소 측에서 꼼꼼하게 관리해주심. 아파트 지하주차장 물청소도 주기적으로 함. 방문차량의 경우도 과도할 정도(?)로 꼼꼼하게 체크하여 방문객에게 뻘줌했던 적도 있음,5,겨울에도 춥지 않고 여름에도 덥지 않게 무난하게 생활하는 중. 입주 전에 비행기 소음이 가장 큰 걱정이었는데 창문 닫혀있을때는 전혀 안들리는 수준. 창문 열고있어도 크게 거슬리지는 않는 정도. 이웃에 따라 다르겠지만 우리집은 층간소음은 못느낀듯
50182,래미안목동아델리체,40대,여자,자가 거주,기혼,5,비행기 소음 걱정했는데 별로 못 느꼈어요  역주변과 아파트 상가에 다양한 상권이 형성되어 있어 생활이 편리해요  밤에도 배달 오토바이 소리가 안들려서 좋아요,4,지하철역이 바로앞에 있어 좋긴한데 2호선 지선이라 좀 불편해요 버스는 많아요 5호선은 걸어서 12분 쯤 걸리는거 같아요,4,"조경이 아주 잘되어 있고 5분거리에 신정산,계남산이 이어져 있어 가벼운 산행하기 좋아요 데크길 조성이 잘되어 있어 밤에도 산책이 가능해요 단지 뒤쪽 오래된 빌라들이 재건축 예정이네요",5,"신축이라  깨끗이 잘 관리가 되고,커뮤니티시설(피트니스,  스크린골프,사우나,카페테리아,독서실)이 잘 되어 있어요",5,"층간소음이 적고,거실 창호가 철재난간이 아니고 강화유리라 시야가 좋아요 사물인터넷 연결로 생활이 편리해요"
50182,래미안목동아델리체,30대,남자,자가 거주,미혼,5,"지하철, 버스 노선도 다양해서 출퇴근이 편리하고 신축이라 내부시설 및 관리가 아주 좋아요, 공원도 근처에있어서 운동하기도 편리해요",5,"신정네거리역 바로앞이라서 이용이편리하고, 버스정류장 등 교통도 편리해요, 양천구가 주거밀집구역이라 출퇴근시간 운전이 불편하지만 여의도-신월ic 지하화 등 교통 변화를 많이하여 큰 기대가됨",5,"신정네거리역 주변 음식점들 및 편의시설이용이 쉽고 한블럭 안에 위치하여 조용합니다, 근처 편의점 및 대형마트고 잘되어있는편이라 좋고 단지내 정비가 잘되어있어서 걷기도 좋아요.",5,"주차장 관리가 아주 잘되어있고, 엘레베이터 계단 등 청소상태가 깨끗하며 분리수거도 잘관리되어 편리하게 이용할 수 있어서 좋아요",5,입주한지 얼마안된 신축이라 시설도 좋고 층간소음이나 비행기 소음 걱정을 많이했는데 너무 만족합니다.
6668,푸른마을4단지,40대,남자,전세 또는 월세,기혼,3,초등까지는 좋으나 중학교 부터는 교육을 위해 이사수요가 많음ᆢ학원이 주변에 있다고 하나 대부분 버스를 타고 목동으로 나감,3,바로 위에 하늘길이 있어 비행기타기 좋음 그러나 지하철이 없고 버스도 걸어서 오분이상 큰길로 나가야함,2,목동이나 김포공항 부천으로 가야 대형마트가 있음 주변은 물가가 조금센편으로 식료품 과일등 계절품목은 품질이 좋지않음,4,경비아저씨  노력으로 매우깨끗함ᆢ하지만 쓰레기분리배출이 일요일에 한정적이여서 여행외출등으로 시간을 놓치면 일주일을 감수해야함,3,가격대비 괜찮음ᆢ분양당시부터 거주중인 할머니들이 많아 특유의 동네 커뮤니티를 형성하고있음ᆢ이들은 몇동몇호에 누가살고 있는지 관심이 많고 호기심도 많으며ᆢ어느할머니는 종일 단지를 누비며 단지에 애착이 많음
6668,푸른마을4단지,50대,남자,자가 거주,기혼,4,서울 에서 이정도 가격대비 컬리티가 좋은 아파트가 있은까 생각 하며 조용하고 살기좋으며  관리가 아주 잘되어 있는 아파트이다,4,지하철만 빼고는 주변 버스 교통이 아주 좀다 공용차고 지가 있어서 버스 노선이 많고 남부순환도로를 옆에 두고있어 웬만한곳은 버스 노선이 있다,4,초등학교가 100미터 중학교가 150미터  마트 커피숍등  다있고 백회점도15분거리에 다있다,5,아파트 금연 잘실천 하고 있고 직원들이 친절 하고 세대 민원을 가능한 해결해준다. 깔끔하고   깨끗하다,3,지역 난방이라 난방 아주 저렴하고 편리하다  층간소음은 모든아파트가 그렇듯이 윗층을 잘만나야 한다
6668,푸른마을4단지,40대,여자,자가 거주,기혼,4,지하철역 가깝지 않은것 빼곤 아니들 초중락생키우긴 넘 편하고 좋다. 학원도 목동이 가까워서 공부하기 편하다,3,양천차고지가 있어서 버스편은 편한데 지하철 탈려면 마을 버스를 타야 갈수있고 가까운 지하철 역도 지선이다. 서욾서남쪽에 위치하고 있어 경시도 주천과도 가깝고 학원도 목동학춴을 대부분 이뇽 가능하다,5,관리사무소서 아파트 관리도 잘하고 친절하며 청소도 잘 되어있어 깨끗한 아파트다 몇년연속 금연이파트로 상받았다 공원도 가깝고 마을버스도 자주 다닌다.,5,공용 현관의 비밀 번호가 있어잡상인이 아파트 안으로 들어오지 못 해 안전하다. 경비아저씨 관리사무소 모두 친절하며 집에 고장난것도 잘 고쳐준다,5,베란다가 넓게 트여 있어 바람이 들어와 여름에는 에어콘을 많이 틀지 않지만 정남향 아파트라서 하루 종일 햇빛이 잘 들어와 겨울에는 난방을 덜 할 수 있을 정도로 따뜻하다. 오래된 아파트라서 층간소음이 있다. 바교적 깨끗하게 관리하는 편이다
6668,푸른마을4단지,20대,남자,자가 거주,기혼,3,"백화점,영화관 같은것들이 없어 아쉽다. 도심에서 떨어져있는 동네라 밤에는 약간 어둡다. 그리고 지하철역이 근처에 있지 않아서 그 점이 아쉽다. 하지만 주변에 학원과 초등학교,중학교,고등학교가 있어서 교육적으로는 괜찮다.",3,"버스 정류장은 5~10분거리 에 있고 지하철역은 버스를 5~10분정도 타고 가면 나온다.  큰길은 10분정도 걸으면 나온다. 택시가 많아 잡기는 쉽지만, 도심이 아니라 차가 많이 다니지는 않는다.",4,"아파트 주변에 놀이터가 많고 마트도 많다.  그리고 초등학교,중학교 모두 가까이 있어서 등교하기 편하다. 나무가 많아서 벌레가 많다는것이 단점이고 그대신 공기가 맑은것이 장점이다.",5,"화단정리가 잘되있고 경비아저씨분들이 청소도 자주해주신다. 택배도 잘 맏겨주셔서 안심된다.  그리고 담배냄새 같은 문제는 안내방송과 엘레베이터 게시물 부착,계단에 게시물부착을 해서 적극적으로 알리신다.",3,"베란다가 많아서 아주 약간 좁기도 하지만, 햇빛이 매우 잘들어와 오후 4시 까지도 형광등을 키지 않아도 된다. 하지만 겨울에는 벽에서 물이 새기도 한다.층간소음은 딱히 신경쓰이지 않는정도 이다."
6668,푸른마을4단지,40대,여자,자가 거주,기혼,4,"먼저 학교가 바로 옆에 있어서 아이들이 있는 가정에서는 아이들 학교 보내기가 매우 편리하다. 소형 마트들도 많고 편의점, 식당들이 많아 매우 편리하다.",4,도보 10분이면 서부트럭 터미널이 있고 버스 정류장이 있어 편리하다. 도보3분으로는 마을 버스 정류장이 있으며 택시가 자주 지나다니고 차가 그리 막히지 않아 이동이 편리하다.,4,"여러 소형 마트와 편의점이 많고, 도보3분이면 넓은들 공원이 있어 산책이 용이하다. 옆에는 지향초등학교와 강신중학교가 바로 있어 학생들의 등교가 편리하다.",5,"택배를 경비실에서 맡아주셔도 분실 위험이 없게 순찰을 나가실 때는 경비실 문을 잠구시고, 입구마다 총 4개의 소초가 있어 매우 안전해 보인다. 정기적으로 아파트를 청소 해 주시는 분이 계시고 금연아파트로 지정되어서 그런지 단지 내에서 대놓고 담배를 피는 사람을 찾기가 힘들다.",4,"층간소음이 다소 있긴 하지만 이것은 이웃의 타협으로 해결 할 수 있는 문제이고, 우리 동은 남향이어서 그런지 햇빛이 잘 들어와 빨래 건조가 편하다."
6668,푸른마을4단지,20대,여자,자가 거주,미혼,4,추천한다 아이들이 있는 가정이 살기좋고 불편리한 교통은 어느정도 감수가능하다.,2,버스를 탈수있는 정류장이 가까운 정류장이 없는 편이고 버스를 타려면 5분이상 걸어가야한다 지하철은 버스를 타고 가까운 신정네거리역으로 가야할정도로 멀다. 자가용 이용은 보통인 편이다.,3,마트와 편의점 모두 가까운편에 있고 공원은 10분쯤 걸어가면 있다. 초등학교와 중학교가 5분이내에 갈수있는 거리에 있어 아이들에게 좋다,4,공동현관 비밀번호가 노출되기 쉽다. 하지만 아직까지 잡상인이나 도둑 등이 온 사례를 본적이 없으므로 안심하는 편이다. 택배는 부재시 경비실에 맡겨두시는데 가지러 갈때 싸인까지하고 확실하다,4,햇빛이 눈부실정도로 잘 들어오고 바람도 베란다문과 다용도실 문을 열어놓으면 맞바람이 통해 좋다. 하지만 아랫집사람이 예민한편이라 층간소음에 조심해야한다
6668,푸른마을4단지,20대,여자,자가 거주,미혼,4,추천합니다. 주변에 대형마트는아니지만 마트.편의점.문방구.놀이터.학원.파리바게트.까페.병원.약국 있을건 다있다,4,5분거리에 신정네거리역으로 갈수있는 버스정류장이있다. 출퇴근이 편하다.,3,단지바로옆에 지향초등학교. 강신중학교가 있어서 아이들의 등하교가 편하다. 주변에 마트와 편의점이 많아 편리하다. 단지내에 놀이터도 깨긋하다,4,경비아저씨가 매우친절하시고 매년겨울 단지내에 크리스마스 트리장식을 해놓으신다. 매년색다르게 해놓으셔서 보기에도너무좋다.,4,406동 거주하고있는데 햇빛이 아주잘든다. 다만 비행기소음은 살짝있지만 예민하지않는다면 크게 신경쓰이지않는다. 그리고 이웃간에 사이가좋다.  엘레베이터에서 만나는 모든이웃분들이 항상 인사를먼저해주신다
