danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
5633,보람,50대,여자,자가 거주,기혼,4,교통 이용 편리하고 쇼핑 상권 좋고 서울식물원 우장산 수명산등 여가시설 이용하기 넘 좋고 특히 교육 쪽으로는 학군이 넘 좋음(저희도 학교때문에 이사옴) 그러나 단지가 작고 연식이 오래되어서 별하나 뺏음,5,5호선 우장산역 도보로 10분 이용가능함 5분거리에 영등포 김포 부천 등으로 이동 가능한 버스정류장이 다양하게있음 올림픽대로 남부순환로도 멀지않아서 자차 10분이내로 접근 가능함 김포공항도 가까움,5,도보 1~2분에 편의점 마트 이용 가능하며 재래시장도 도보 10에 송화시장이 있고 자차 5~10분 안에 nc백화점 롯데백화점에 롯데마트 이마트 홈플러스 킴스클럽 골라서 장보릐 갈수 있음 롯데시네마 메가박스등도 가깝고 외식상권인 발산 마곡도 도보이용가능함,4,연식이 있다보니 아파트 정원은 잘 되어있고 2년전에 단지내에 생활 운동기구가 설치되어 간단한 운동 가능함 택배는 경비아저씨가 보관해주셔서 분실한적 없음,4,단지 모두 정남향 배치로 일조량 풍부하여 난방비 절약됨  층간소음은 복불복인거 같음 우리집은 잘  못 느꼈음
5633,보람,20대,남자,자가 거주,미혼,4,투자가치가 있는 아파트는 아니지만 실거주 입장에선 더할 나위 없이 좋다고 생각함 앞에 왕복 2차선 도로가 나 있지만 소음은 크지 않은 편.,4,우장산역 발산역 중간에 위치하고 있으나 도보로 10분 이내이며 400m정도 걸어나가면 버스정류장이 있으며 많은 노선이 지나가기 때문에 환승을 이용하면 접근성이 좋은 편,5,"동네에 롯데마트 등 간단한 장을 볼 수 있는 마트가 잘 구비되어 있고 자가용만 있다면 공항롯데몰, 엔씨백화점 등 대형마트 도 10분 이내 거리에 있어 편리함",3,중앙 현관에 비밀번호나 카드로 된 보안시설이 없어 주말에 간혹 종교인들이 노크를 하는 경우가 있음 하지만 주민들 대다수가 오래전부터 살아온 사람들이 많아 중앙현관 보안에 대해 신경을 쓰지 않는 것 같음,5,정남향이라 일조량이 매우 우수하며 베란다 시야는 탁 트여서 좋은 편임 경치가 좋지는 않으나 답답하지 않음
5633,보람,50대,남자,자가 거주,기혼,4,"지하철 등 대중교통, 학군, 산책할 수 있는 수명산 등이 가까이 있어 아주 우수하나 아파트 단지규모가 1개동으로 되어있어 메리트가 다소 떨어짐",5,"발산역 및 우장산역 도보 9분,발산역 및 명덕고 앞 대로변에 버스배차가 많아 영등포 등 시내 출퇴근 용이하는 등 대중교통 여건이 우수함.",5,"마곡지구 및 수명산 단지와 바로 경계이면서 발산사거리 주변 이대종합병원, 엔시백화점, 각종 편의시설 등을 최단거리에서 이용가능",4,"단지관리는 아파트 외벽과 내부 계단, 엘리버이터 등이 비교적 깨끗하고 아파트 뒤편에 운동시설이 설치되어 있어 이용하기 편리",4,"아파트 주변은 그 위치가 명덕외고 등 발산동 초.중.고 학군 중앙에 위치하여 교육여건이 가장 우수하고, 주택가로 형성되어 있기때문에 아주 조용한 주거환경임."
5633,보람,40대,남자,전세 또는 월세,미혼,2,"시장이 가까워서 좋다  가까이에 김포공항이 있고 서서울호수공원도 걸어 갈 수 있어서, 주변 환경에 매우 만족한다. 내부 시설도 살기 좋다",2,버스노선이 별로없다.  그러인해 시간약속을 지키기 어렵다.  주말에는 특히 버스 다니는 텀이 길다,2,서서울 호수 공원이 있다.  스타벅스도 있어서   외진곳이지만 나름 좋다,2,잘되는 편  청소 상태등도 좋고  경비아저씨도 친절하십니다,2,시장이 가까워서  산책하기 좋다  로또 당첨 1등 배출집이 있어서  로또 사기 좋다
5633,보람,40대,여자,자가 거주,기혼,4,여러 면에서 서민들이 살기에 딱 좋은 거 같다  아이가 없어서 학군은 잘 모르겠다,5,지하철이 가깝다 단점은 조금 시끄럽다.  차도랑 가까워서 시끄럽다,3,큰 처에 마트가 큰 게 없어서 조금 불편하지만 교통이 좋으니 그 걸로 커버.  동네 마트가 있다,4,단지가 깨끗하고 아담해서 좋다  오히려 아주 대단지 보단 조용해서 좋다,4,해가 잘 들어서 좋다  요즘 새로짓는 아파트가 아니라 촘촘하지 않아서 좋다.
5633,보람,20대,여자,자가 거주,미혼,4,주변에 대형마트 편의점 빵집 등 편의시설이 있으면 인근에 초중고등학교 교육 지역이라 편하다,4,정류장이 집 근처에 세 곳이 있고 인근 지하철역과 가깝다 지하철역까지 멀지 않아 교통이 편리하고 마을버스 시내버스 정류장도 많다,5,편의점과 앞에 마트가 있다 주변에 초등학교 중학교 고등학교가 다 있으며 교육특구라 매우 좋다 환경이 깨끗한 편이다,5,주차장소가 넓으며 단지가 크다 경비실도 많고 단지가 큰 이유로 범죄율이 낮은 거 같다,3,거실과 안방은 넓지만 그 외 방은 조금 좁은 편이다 놀이터를 허물고 주차장을 만들어서 그 부분은 조금 아쉽다
80905,등촌역한울에이치밸리움1차,60대 이상,남자,자가 거주,기혼,5,"가까운 대중교통, 남녀노소 생활하기에 불편함이 없는 주변 인프라등 직장인들이나 은퇴하신 분들의 생활에 전혀 부족함이 없는 아파트라 생각이 됩니다",5,지하철 9호선 2번 출구 바로 앞으로 진정한 역세권의 혜택을 누릴 수 있습니다 지하철뿐만 아니라 시내 중심가 또는 외곽지역으로 나갈 수있는 다양한 버스 노선들이 정차하는 곳에 위치하고 있는 아파트입니다,5,1층에 유기농 마트와 생활에 필요한 약국과 병원이 같은 건물에 상주하고 있는 최상의 조건입니다 대로변 길건너 바로 앞 목3동 도깨비 시장과 주변에 이마트가 있어 생활하기에 불편함이 없는 아파트입니다,5,신축에 걸맞게 상가와 입주민의 엘리베이터가 분리 되어 있어 보안에 문제 될 일이 없어 보입니다,4,"앞쪽 호수들은 정남향으로 거의 하루 종일 햇빛이 들어오며 겨울에는 난방을 덜 할 수 있을 정도로 따뜻합니다. 큰 대로변에 있는 아파트라서 차량들 소음은 조금 있는 편이며, 층간 소음도 조금은 있는 편입니다"
1042,등촌2단지주공,30대,여자,전세 또는 월세,기혼,4,신혼부부나 혼자살기에 아주 적합하다 생각함. 둘이살기에는 방이 하나라 옷보관 등 좁지만 가격대비 위치도 좋고 추천임,4,"나름 양천향교역까지 가깝고, 뒤로는 버스정류장도 있어서 출퇴근하는데 (해당사항있을경우)크게 불편함이 없음.",5,"단지내 마트(신선도가 떨어지지만 없는것보단 나으니..) 뒤로 근처동네마트가 있으며, 홈플러스도 도보로 가능하고 식물원등 거의 근처에 다 밀접해있다고 봄. 위치는 좋다고 생각함",4,"경비아저씨분들이 나이가 많으셔서 그런지 차로 아파트 들어올때 항상 늦게 열어주셔서 조금 불편함 항상 관리는 깨끗이 하시는거같고 친절하신편! 택배관리,분리수거등 잘 관리되어있음 외부차량 주차딱지도 열심히 붙이면서 관리하시는데  지하주차장이 없어 주차공간이 좁다보니, 이중주차는 기본! 이중주차 해놓고 매너없는분들이 꽤 계심. 또한 나이많으신분들이 많아서 전동휠체어가 많이다님",3,햇빛도 잘 들고 전망도 트여있어서 좋음 뭐 여름은 당연히덥고 겨울은 오래된 아파트라 그런지 우풍이 있는편! 또한 옆집의 소음이 다 들리고 층간소음도 그대로 느껴짐! 아이있는 가족보단 신혼부부나 나이드신분들이 많이 사시는것 같지만 위층에서 뒤꿈치로 쿵쿵 걸으면 답없음. 현재 층간소음을 겪고있지만 1년째 참고있음ㅎㅎ 슬리퍼를 신고 신경써서 조심해야함. 아래층에서는 밤새 틀어놓는 온수매트 본체를 바닥에 그냥두면 들린다고 항의했음.
1042,등촌2단지주공,20대,남자,자가 거주,미혼,5,가까이에 대형 마트도 있고 조금 나가면 백화점도 있고 걸어서 갈수 있는 공원도 있다. 특히 지하철역에서 가깝다는 최대 장점이 있다.,5,지하철역이 가까워서 교통이 편리하다. 이아파트 최고의 장점이 역에서 가깝다는 점. 자차를 이용하거나 지하철 이용으로 대중 교통은 잘 모름,5,"주변에 일인가구 및 가족단위 가구가 살기 편하게 편의 시설이 가까이에 많다. 대형 체인점 카페, 홈플러스, 식물원, 산책로 등등",5,입주한지 시간이 많이 지나서 오래된 느낌은 있지만 잘 관리되고 있고 단지가 깨끗하고 조용하다. 수시로 체크하고 관리하는 듯 하다.,5,아이들이 뛰는 소리를 듣지 못했다. 주로 일인 가구가 많은지 조용~하다. 난방은 잘되고 여름은 워낙 더워 어차피 에어컨 사용하다보면 더위가 지나가는데 에어컨 없이는 힘들듯. 남향이라 일조량 좋다.
1042,등촌2단지주공,40대,남자,전세 또는 월세,기혼,5,"교통이 편리하다는것 이것이 첫번째이며, 예전에 알던 논밭이 아니며 주변에 편의시설들이 많이 있고 공기도 깨끗해서 추천합니다",5,지하철역과는 도보로 10분15분 걸어가야 하지만 버스배차시간이 짧아 편리하게 이용할수 있어 좋습니다.  그러나 단점은 단지들을 여기저기 지나가며 정차하는 정류장이 많다는 것입니다.,4,단지내 강아지랑 산책하기 좋은 체육시설 및 운동장이 있어서 밤늦게나 일요일 운동하기가 좋습니다.  그러나 때로는 흡연하는 사람이 있어 눈살을 찌푸리게 합니다.,4,요즘에는 자동문이 설치되어 있어 매우 편리합니다.  하지만 비매너인들로 인해 눈살을 찌푸리게 되는것이 단점입니다.,4,"겨울에는 사방으로 집이 붙어서인지 난방이 잘 되고, 단점은 겨울에 배관이 얼어서 세탁기를 못돌리는게 단점입니다"
