danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
5760,리버펠리스,50대,여자,자가 거주,기혼,5,여의도 급행 2정거장.사통팔달 교통 편리하고  주변  새로 건물이 생겨서 쾌적하고  편리한  인프라 생활권. 집앞  한강뷰.    평지로  주차장  넓고  조용하고 쾌적한 휴식처,5,급행9호선 염창역. 여의도 고속터미널 신논현 강남 갈 때  몇정류장 만 가면 바로 도착해서 넘 편함. 올림픽 대로 바로 진입로와 내부순환도로 타기도 굿. 버스 타도 홍대 5정류장. 뉴타운 마곡 도 가깝고  차가 있어도  없어도  모두  편한 교통,5,대형평수 위주의 고급 한강뷰 아파트라 조용하고  바로 앞에 한강 진입로 와 염창산  숲속 둘레길과 한강  연결  엘리베이터 신설과 주변 경관을  새롭게 재정단해서  편안해지고 점점  멋져지고  좋아져서  이만한  뷰와 숲속 산책길과 월드컵대교 한강뷰  아파트 거실에서  불꽃축제도  보이고 정자 위에서 보면  환상  그 자체.   생활에  필요한 편의시설 모두  인프라갖추어져 있어서  편리. 버스 정류장 2분 마트.헬스장.사우나찜질방. 병원.학원.카페등등,5,명품 조경과  항상  깔끔하고  깨끗하게  정리되어  있음.   택배도  현관앞에  배송 잘되고  세대수가  적어서 분리수거를  요일  상관없이  배출해서  너무  편하고  항상  깨끗하게  정리 잘  되어  있음.,5,베란다  확장이 모두  되어 있어서 실사용  면적이  훨씬  넓고 한강뷰가 거실과 방에서도  보여서 시원스럽고  멋짐.  한강앞이라  여름에  에어컨을 안틀어도  시원함 고급 자제 사용으로 겨울에는  따뜻함. 거의 주인이 거주하고  인테리어를 호텔처럼 해놓고  오래 거주하시는 분이 대부분이라 아파트 가격 거래내역이 별로 없어서 아직 까지 이만한 한강뷰 아파트 인데 가격이  저렴한  편임
5760,리버펠리스,40대,남자,자가 거주,미혼,5,염창역이 가깝고 근처 건물들이 새로지어 입점하는곳이 많이생김 버스노선도 다양하고 자가차량 출퇴근도 용이 대중교통도 5분이내라 편리,5,역 3분 버스정류장1분 이 가깝고 자유로 88도로가 1분거리라 이동이 편리함 자가이용 대중교통 다편리함,5,조경이잘되있고 바로앞 횡단보도건너면 한강공원임 근처 큰 마트도있고 바로앞 한강이라 공기도 좋음,5,관리비저렴하고 주차공간이 남아돈다. 넉넉하게 잘지은거같아요 잡상인 출입은 일절없음 택배는 현관비번입력후 집앞에 두는데 세대수가 적어 출입이 적음,5,평수가커서인지 애들보다 중장년이 많어 층간소음 없고 햇빛도 잘들어옴 전망이 한강. 안양천이 보여 좋음 난방이잘되어있어 겨울엔 들춥고 여름엔 한강때문에 시원함 남동향이라 햇빛이잘듬 그래서겨울엔 따스하고 어름은 시원함 년식도 그리오래되지않아 소음이 없음
5760,리버펠리스,40대,남자,자가 거주,기혼,5,이마트 현대백화점 롯데몰 홍대 이대목동병원  각 10분이내   인근 중소형마트 이용 편리,5,9호선 도보 10분이내  올림픽대로  서부간선 양화대교  직통  월드컵대교 완공시 가치 추가 상승,5,"공항리무진 정류장 3분  한강 자전거, 조깅  바로 이용 가능  초중고 근접  상가가 없어 조용",5,지상지하 세대당 2주차  정원같은 조경  가족 같은  관리실 분들  안전한 보안 구조  세대수가 적어 단체 의사 결정이 용이,5,냉난방 비용 절감  시원하고  따뜻함  안양천 뷰  천고가 높고 전실이 있어 평수 대비 더 넓은 면적
5760,리버펠리스,50대,남자,자가 거주,기혼,5,가격대비 평수가 크게 나오고 인근지역에 대형평수가 부족하여 가치가 높음. 특히 관리비가 적게 나오고 주차도 넉넉함.,4,"완전한 역세권은 아니나 9호선 급행이 있는 염창역까지 걸어서 8분정도로 훌륭함. 자가용으로는 여의도까지 15분이며, 지하철 2호선 당산역과 홍대역에 연계되는 버스편이 편리",5,"유해시설 없음, 주거로 적합. 중학교까지 학군도 훌륭. 바로 옆에 마트도 있어 편리. 아이들이 안심하고 등교할 수 있는 환경임",5,적은 가구수라 오히려 깨끗하게 관리. 관리사무소가 훌륭하게 관리되고 있음. 그런 장점에 비해 관리비가 싸서 오히려 올려야 하는 것이 아닌가 생각이 듬,5,주변 유해시설이 없는 주거단지로 조용하고 안전함. 학군 조망 평수를 감안하면 주변에 비교가능한 아파트는 없다고 생각이 듬
5760,리버펠리스,50대,여자,자가 거주,기혼,5,리버펠리스의 가장 큰 장점은 한강뷰가 거실뿐만 아니라 방들도 모두 시원스럽게 한강이 보여서 집에 오면 스트레스가 확 풀립니다.  여의도 불꽃축제도 보입니다.,5,올림픽대로 진입로 바로 앞이라 차로 사통팔달 어디든 가기 편하고 9호선염창 급행은 두말할 필요가 없이 좋으면 집앞 다양한 버스 노선도 많아서 교통 완전 굿입니다,5,도로가 넓고 특히 리버팰리스는 고급스러운   자재와 조경의 벤치와 꽃 화단이 아름답습니다. 뒷문이 생겨서 슈퍼나 지름길로다니기 편합니다. 바로앞에 찜질방 사우나.헬스.골프 연습장 음식점 던킨도넛 병원 편의점 등등 웬만한 편의시설이 다 갖추어 있어서 편합니다  대형평수 위주라서 쾌적하고. 분리수거는 아무데나 해서 정말 편합니다.아파트 바로 앞이 한강 공원 가는 길이라서 정말 최고입니다.,5,세콤 보안 시스템과 CC TV 가 여러대 있으며  현관 카드키와 비밀 번호 사용으로 잡상인이 전혀 출입이 제한 되어서 안전합니다.,5,리버팰리스는 특수 고급 자장재 사용으로 겨울에는 따뜻하고여름에는 한강뷰와 강바람으로 에어컨 없이도 완전 시원합니다~~
5760,리버펠리스,30대,여자,자가 거주,기혼,5,"2키로 거리에 이마트,홈플러스 있어 쇼핑이 편하고, 목동현백을 이용하거나 김포롯데몰도 가기편하고, 영등포타임스퀘어도 자주 이용함 걸어서 가는 거리에는 동네 중형마트?간단한 물건사긴 좋으나 신선식품은 비싼편",5,"9호선 염창 급행 도보권 강남,마곡방향 이동이 좋고 올림픽대로 성산대교 진입이 바로 연결되어 편함. 버스로 당산가는 방향도 많고 교통이 진짜 편리함. 월드컵대교 개통도 기대됨",4,한강이 바로 뒤쪽으로 연결되어 있어 진입이 쉬워 운동하기좋으나 공원같이 산책할 공간은 마땅치않음 놀이터가 없어서 옆단지 놀이터를 이용,5,"공용현관은 개별 세대 비밀번호 설정해서 안전하고, 청소도 늘 깔끔히되어있음. 분리수거는 아무때나 할수있음 저층살아서 올림픽대로만 보였는데 중층이상이면 한강뷰일거같음 102동101동의 경우",5,베란다도 넓고 한강을 끼고 있고9호선 급행역 도보 지역에 평형 넓은 아파트로 유일함. 집을 넓게 쓰니 삶의질이 달라짐. 필로티구조라 2층이 최저층이며 겨울에는 집이 넓어 난방비가 좀 나오긴함
5760,리버펠리스,50대,남자,자가 거주,기혼,3,역세권이며 조용하고 평수에비해 관리비가 저렴하며 한강으로 갈수있어 좋은 환경임,5,"지하철이 가깝고 지하철에서 9호선을 이용하면 3정거장이면 회사에 도착하고   배차간격에 출퇴근이 편리하다,  또한 자가용 이용도 편리하다.",4,"한강이 인접하고, 마을버스로 몇정거장이면 이마트가 있고 정문앞에 마트가 있고 사우나가 앞에 있어 편리함. 또한 한강에 아이들 데리고 가기 편하다.",4,입주자대표의 효율적인 관리와 공용 현관의 비밀 번호를 자주 바꿔서 잡상인이 아파트 안으로 들어오지 못 해 안전하다. 택배를 경비 아저씨가 경비 초소 한 켠에 모아두시고 전해주어 가족같은 분위기와 관리비가 저렴해서 그냥 만족한다,4,"일조량도 괞찮고 따뜻하며 평수에 비해 관리비도 저렴하며 조용하다, 하지만 앞에 타 단지가 잇어 조금 어두울 때도 잇음"
5505,현대3차,30대,여자,전세 또는 월세,미혼,2,교통은 서울 여기저기 가기 괜찮고 주변에 타임스퀘어나 코스트코 등 갈 곳은 많지만 아파트 자체가 추천하고 싶짐 않음.. 정신이 이상한 아줌마도 마주친적 잇움,4,집 앞에 마을버스로 5분거리에 2.9호선 당산역있음.  걸어서 7분 거리에 버스정류장에 지나다니는 버스가 수십대잇음. 대신 인천방향 도로가 자주 막혀 차가지고 다니기엔 가끔 불편함,4,걸어서 10분 거리에 코스트코.빅마켓 잇음  작은 슈퍼도 주변에 있는 데 홈플러스 익스프레스 도 잇고 엔씨아울렛잇음,2,단지가 작은 데 주차장 협소하고 차는 너무 많아 주차전쟁임. 출입구에서 사고도 자주남. 싸움도 자주 남.  오래됨 아파트라 현관에 출입 통제하는 문 없음,2,일조량은 꽤 잇지만 겨울에 너무나도 추움. 난방을 아무리해도 추움. 단지 내에 흡연하는 사람이 건물 바로 앞에서 하기때문에 저층에는 냄새 들어옴
5505,현대3차,30대,남자,자가 거주,기혼,5,"학교와 대형마트들 많고, 교통도 편리.  주차문제도 수월함. 추천합니다.",4,"영등포구청역, 당산역, 선유도역 3개 역의 딱 중간 위치..   버스 노선 많음..   올림픽대로, 노들길 진입로 가까움",4,바로 앞 마을 버스정류장 및 한강공원 가까움  초중고 근처에 위치함.,5,단지 내 청결 및 재활용 쓰레기 관리 잘됨.  주차 여유 있음. 엘리베이터 확장 완료.,5,"학교가 주변에 많고, 교통도 편리함.  단지 주변이 조용하고 치안도 좋음."
5505,현대3차,20대,여자,자가 거주,미혼,3,"오래된 아파트이고 1동짜리 아파트라 편의시설은 없다. 하지만 근처에 영등포, 홍대, 신촌 등을 바로 갈 수 있는 버스노선이나 2,9,5호선 및 공항버스 등 이용할 수 있는 교통수단이 많다.",4,"영등포 02,03,05를 탈 수 있는 정류장들을 1분 내외 거리로 이용할 수 있고 아파트 뒤쪽에는 홍대, 합정 등을 바로 갈 수 있는 7612 버스가 있다. 영등포구청역과 당산역이 도보 5-7분 거리에 있다.",4,바로 근처에 gs25와 마트가 있고 아파트 건너편에 24시간 오픈하는 맥도널드가 있다. 집에서 20분 정도 걸으면 선유도공원이나 한강공원을 갈 수 있다. 10분 거리에는 생태공원이 있어 가볍게 산책하기 좋다.,4,경비실에 택배보관함이 있는데 경비 아저씨께서 자물쇠를 걸어 보관하시기 때문에 안전하다. 각 라인마다 1층에 카드키를 입력해야 출입할 수 있었으나 카드키 휴대나 다인 가족의 경우 카드키를 다량 구입해야 하여 부담스러웠던 점 등 때문에 현재는 이용치 않고 있어 외부인 출입에 대해선 안전하지 않은 편이다.,3,위층이 정말 시끄러우나 누가 사느냐에 따라 다른 문제 같다. 다른 집에 비해 난방이 잘 되고 따뜻한 편이다. 햇빛이 잘 비추고 전망이 좋았으나 옆에 생긴 삼익플라주 아파트 때문에 손실이 커졌다.
