danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
770,뉴신사신성,30대,남자,전세 또는 월세,기혼,4,"근처엔 응암동 이마트 마트가 있고, 가장 중요한 아이들 학교의 접근성, 친절한 ? 주민분들, 관리자분들, 조용한 집, 햇볕, 교통 , 등등 서울에 합리적인? 가격?.. 정도 입니다.",3,"7017,7212, 마을버스 아파트 단지앞 내 3분거리 에 있어서 버스로 다니기 편하다. 산길을 통하면 새절역 10분 거리.",4,"근처에 상신중학교(남녀공학) 숭실 중고(남학교) 서신초, 신사초 등 학교등이 10분 거리 내외로 있어서 조용한 면학 분위기 조성  서신초엔 도서관 또한 신설로 있어서 동 주민은 사용할수 있다.",3,"단지 청소 는 복도식 아파트 치곤 매일 청소하는 아주머님, 그리고 경비관리자분 등 신경 써주시는게 좋다. 분리수거 또한 편하게 되어 있어서 쓰레기봉투사용할일은 거의 없다 (일반 쓰레기 제외) 음식물 쓰레기는 물론 관리비는 내지만 버리는곳 또한 마련되어있다.  아파트 출입은 누구나 들어올수있게되어있는게 아쉽다.하지만 곳곳에 cctv는 마련되어있다. 실제로 작동하고 있는지 관리자분과 본적이 있습니다. 주차는 지하 주차장이 있으나 20대 정도만 주차할수있고 지상 주차장이 있다. (눈 비가 오면 다 맞아야하는 안타까움?).  택배는 경비아저씨가 맡아주시는 시스템( 조금 번거로워 보이긴 해요) 단지 관리는 나름 신경써 보이는게 보입니다. 페인트 칠 , 수도관리 , 등등  관리비는 적당한것 같습니다.",5,"제가 12층 거주하는데 뉴신성아파트의 장점은  해가 정말 잘 들어옵니다. 이게 최고인거 같아요.  층간소음은 개인적인 차이라 패스. 저는 스트레스받는건 없었습니다. 제 개인적인 생각은 정말 조용합니다.  근처에 산들도있어서 산책도 다닐수있고, 일 쉬는날엔 바람 잘들고 햇볕 잘들고 조용해서 아주아주 만족해요."
770,뉴신사신성,30대,남자,자가 거주,기혼,3,가격대비 모든 조건은 만족한다 단 돈이 더있다면 다른곳 사는걸 추천,3,7017 버스정류장 바로앞이라 지하철타러가기나 시내나가기 매우 편리함,3,인근에 응암동 이마트가 인접해있어 쇼핑을 하기 수월하다,2,지하주차장은 없고 지상주차장만 운영하고 있으며 택배또한 경비실에 보관하고 있다,3,단지뒤에 조그마한 산이있어 굉장히 시원하다..단 모기가 조금 많은듯
770,뉴신사신성,40대,여자,자가 거주,기혼,3,가격대비 거주로는 좋으나 투자 혹은 주변여건으로보면 많은 한계가 있음,3,버스를 타야 편히 지하철역에 갈 수있다  고개가 높아서 도보로는 힘듦,3,단지내 수목이 많은 편이라 단지내 공기는 맑은편이나 주변에 아무것도 없음,4,청소 및 경비실의 경우 아저씨의 장기근속으로 인해 적절하나 출입통제는 별로임,5,일조량은 정남향이라 좋은 편이며 옛날 아파트라 층간소음은 별로 발생하지 않았음
770,뉴신사신성,30대,여자,자가 거주,기혼,4,공기가 맑고 주변에 학교가 많아 아이를 키우는 분께 추천함. 주변에 편의시설이 많이 없어서 자가 차량을 운전하시는 분이 유리함. 깨끗하고 조용한 아파트를 찾는 분이라면 추천~,3,주차장이 넓게 마련되어있어 주차하기 편리함. 지하철은 도보 15~20분 정도로 거리가 있지만 3~5분 이내에 버스정류장이 있고 근거리 지하철역을 대부분 지나는 버스가 2대 다니고 있어 큰 불편이 없음.,3,"은평 이마트, 수색 이마트는 버스로 5~6정거장에 위치하고 있으며 상암 홈플러스, NC 백화점도 버스로 20분 이내 위치해있음. 도보로 가까운 거리에 병원, 약국, 제과점 등이 없어 조금 불편함. 아파트 바로 옆으로 둘레길과 산이 이어져있어 공기 좋고 산책이나 운동이 용이함.",4,단지에 나무가 많이 있어 아름답고 공기가 맑으며 여름에 모기가 많은 편이지만 방역을 자주 하고 있음. 청소 등이 잘 이루어져서 깨끗하게 유지되고 있음.,4,햇살이 매우 잘 들어 밝고 따뜻한 편이고 높은 지대에 위치하고 있어 여름에 바람이 매우 시원함.  에어컨 없이 지낼 수도 있을 정도. 겨울이나 태풍 올 때 바람에 의한 피해가 있을 수 있어 주의해야 함.
770,뉴신사신성,20대,여자,자가 거주,미혼,3,"상권과 교통은 조금 불편하지만 숭실고 바로 옆에 있어서 아이들이 학교 다니기에 가깝고, 도심과 떨어져서 조용히 휴식하기에 좋은 곳이다.",2,도보 시 새절역에서 10분 거리이지만 언덕에 위치해서 걸어 올라가기 불편하다.  버스 이용 시 7715와 7212가 다니는 정류장이 있어 편리하다. 배차간격은 5~15분 내외  운전 시 언덕 경사가 심한 편이라서 열선이 설치되어있지만 눈 비가 오는 날에는 주의 요망.,1,"상권이 매우 부족함. 언덕을 걸어 내려가면 숭실고 앞에 GS25가 가장 가까운 편의점이다.  응암 이마트나 수색 이마트 자가용 이용 시 10분, 상암 홈플러스 15분 소요  대신 세대가 적고 차 소리도 많이 안 나고 주변이 조용해서 가끔 주말에 숭실고에서 야유회 하는 소리를 제외하고는 휴식하기에 좋다.",3,연식이 있는 아파트라서 현관이 오픈되어있어서 보안은 그다지 좋지 않다. 경비실도 자주 자리를 비우는 편. 재활용은 따로 공간이 있어서 배출하기 편리하다.,4,언덕 위에 위치해서 바람이 많이 부는 편이라 여름에는 웬만해선 에어컨을 틀지 않아도 시원한 편이다. 일조량도 적절하다.
771,신성수정,20대,여자,자가 거주,기혼,4,살기좋은 거 같다. 교통도 적절하고 안전하고 사고가 안난다. 복도가 넓어서 마음껏 뛰놀 수 있는 부분이 가장 큰 장점인 것 같다. 16층이 꼭대기며 층간 소음도 심하지 않고 아파트 주민분들도 너무나 친절해서 살기좋다.,3,차가 왔다갔다 하기 편리하며 주변에 교통이 복잡하지않고 단순하고 신호등이 몇개있으므로 교통이 몰리지 않는다. 바로 앞에 1분거리에 버스 정류장이 있으며 7212 와 7715가 있다. 조금만 더 가면 7017 버스도 있어서 간편하다. 버스정류장이랑 가까운게 제일 큰 장점 인 것 같다. 교통이 좋다.,3,단지에 나와 바로 앞에 GS25 편의점과 바로 반대편에 마트하나가 있다. 그 옆에는 문구점이 있고 영어와 수학학원과 미용실 2개가 있다. 또 태권도장도 있어. 주변에 건물들이 학생들을 위한 학습공간과 카페 2개가 있다. 없는게 없는 거 같다.,1,공용 현관의 비밀 번호가 없는 게 가장 큰 단점 인 거 같다. 출입이 생각보다 자유로워서 조금 아쉽다. 택배 아저씨들한텐 좀 더 편하겠지만 여기에 사는 주민분들은 조금 불안할 거 같다.,3,아담하고 꼭대기 층인데도 통풍이 잘 된다. 층간 소음은 심하지 않으며 춥지도 덥지도 않은 딱 적당한 온도같다.
771,신성수정,30대,여자,자가 거주,기혼,4,아파트 근거리에 지하철과 마트가있고 마을버스가 매우 유용하다,4,지하철 도보 10분거리이고 집앞에 7715와 7212가 있어서 편하다,3,마을버스타면 지하철역앞에서고 다른 버스로 이마트와 홈플러스 갈수있단!,3,현관 비번이 없어서 아무나 들어오는 단점은 있다  그렇지만 조용해서 좋다,4,학교가 근거리에 있어서 아이들이 편하다  햇볕이 오전 11시경부터 들어서 빨래말리기 참 좋다
771,신성수정,40대,여자,자가 거주,미혼,4,한동짜리 아파트지만 주변 편의시설이 가까운 편이다  서울 자리한 아파트 중 저평가되어있는 듯 해 추천한다,5,세절역 도보 10분  지선버스 마을버스 모두 탑승 가까운 정류장,5,걸어서 초중고등학교가 모두 위치해 있어서 학군이 좋은 편이다 대형마트도 버스 3 정거장이나 차로 10분 이내 거리라 편리하다  널찍한 공원은 없지만 비단산 자락으로 아이들과 함께하는 등산코스와 운동 놀이시설이 있고 도보로 5분이면 갈 수 있다,5,깨끗이 관리하고 주변 관리도 철저하다  단지 내 놀이터 주차장 등 시설이 나빠진 건 바로바로 수리,5,앞에 큰 건물이 없어서 중고층 이상은 전망이 매우 좋다  남향 방향 호수는 해가 잘 들어 난방이 좋고 바람이 앞뒤 막힘이 없어 잘 통한다
771,신성수정,30대,여자,전세 또는 월세,미혼,4,주변에 동산 산책로가 있고 주변에 학교 등 교육환경이 좋으며 주변이 조용한 편이나 교통편이 불편한 편이다,3,지하철역까지 30분 정도 걸리며 버스 노선은 마을버스뿐이라 교통편이 불편함,3,"주변에 편의점이 있으며, 근처에 낮은 동상 산책로가 있어서 운동하는 데에는 편의 하다",3,"단지 청소는 잘되어 깨끗하며, 주차장 관리도 잘되어 있다 아직 공용현관이 잠겨 있지 않아 출입 통제가 잘 되지는 안는다",3,아파트 주변뿐만 아니라 단지 내도 조용한 편이다 오래된 아파트라서 겨울에 난방비가 많이 든다
4479,동익파크,40대,여자,자가 거주,기혼,4,교통여건은 다소 아쉽지만 동네가 조용해서 살기좋다. 서울시내 이 가격에 이만한 평수의 아파트는 많지않을거라 생각한다.,3,"광화문,시청,서울역 방향 702A,702B,9701 버스정류장이 바로 앞에 있다. 배차간격도 짧고 항상 앉아서 갈 수 있다. 지하철은 구산역까지 도보로 15분정도. 구산역이나 연신내역까지 마을버스를 타야한다.",4,"길건너 굿모닝마트, 홈플러스 익스프레스, 반찬가게가 있어 장보기가 용이하다.   뒤에 동산이 있어  공기가 좋고  서오릉쪽으로 외식하러가기 좋다.",4,공용현관  비밀번호가 없이 자유출입 가능하고 지하주차장에 엘베 연결이 안되어있지만 불편한 점은 없다. 경비분들 친절하시고 택배도 잘 받아주신다. 단지관리는 깨끗한편,5,베란다 쪽으로 동산과 수국사가 보이고 막힌곳없이  탁 트여있다.  창문을 열어놓으면 맞바람이 쳐서 시원하다.
