danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
4356,한양,30대,여자,자가 거주,기혼,4,"역세권이 아니어서 아쉽지만, 대신 거주환경이 조용하고 아침에 새소리와 같이 기상하는 마치 펜션에 있는듯한 느낌이라 좋아요~ 층간소음은 좀 있어요 일반아파트 정도 소음이 있는것같아요.",5,서울근교 왠만한데는 대중교통으로 다 다닐수있어요. 그리고 마을버스가 도보 3분거리에 3-5분간격으로다녀서 좋아요,4,"근처에 세이브마트가 제법 규모가 있어서 불편함이없고, 밑에 조그만 시장이 있어서 급하게 사기도 편해요 대형마트는 차로 가야되서 별하나 뺐어요",5,"출입통제는 잘되고, 단지청소도 깨끗한편이에요 무엇보다 분리수거를 항시할수있게 열어놔주셔서 좋아요",4,숲세권이라 공기가 너무 좋아요  바로 등산로가 연결되서 할거없을때 부담없이 마실다녀오기 좋아요. 근데 자동차 올라오는길이 오르막길이  좀 심해서 별하나 뺐어요. 걸어다닐때는 반대쪽 완만한 뒷길 이용하면 되긴해요~ 빌라사시는분들도 뒷길을 이용하시는듯해요
4356,한양,40대,남자,자가 거주,기혼,5,"솔직히 경기도쪽으로 갈바에야 서울쪽 약간 외각이 좋습니다. 경기도는 병원,약국,마트이용,교육등.. 있을지는 모르지만 그 숫자가 매우 적습니다. 신림한양 이곳은 병원, 약국은 숫자를 세기도 어려울정도로 수없이 많습니다^^ 생활시설기반이 서울이 최고란 거죠^^",4,"신대방역이나 신림역으로 버스이용해서 2호선 라인을 탈수있다는게 좋고, 난곡경전철이 들어오면 국민은행쪽에 들어오므로 매우 가깝습니다.",5,"세이브마트에 왠만한건 다있으며, 보라매공원으로 운동하러 다닙니다. 숲새권 한양은 바로위가 산이라 30초 거리에 약수터가 있고 30초면 바로 산을 오르게 되지요^^ 주위에 약국 수십개(코로나시대에 최고입니다) 병원 수십개~다이소,베스킨,롯데리아등.. 없는게 없습니다. 도깨비시장과 미용실 수십개~ 더이상 쓰려면 상권이 최고라 별 다섯개 입니다^^",5,"공용현관에 비밀번호로 잡상인 차단되며, 쓰레기도 특정지정일 없이 매일 버릴수있어 편하고, 주차장도 주차대수가 1세대당 1.4대라서 여유있습니다. 15년 살면서 주차로 고민해본적은 없었네요^^ 관리비도 월 12만으로 세대수대비 매우 저렴합니다^^",5,숲새권이라 문만 열어놔도 숲의향이 진하게 납니다. 새둥지에 새소리에~ 자연과 함께하는 삶~너무 좋아요^^ 안방과 작은방들이 모두 크게 나와서 방크기가 타 30평대에 방1개가 유독 작거나 이런거 없이 방3개 모두 대만족하고 살고있습니다.
4356,한양,20대,남자,자가 거주,미혼,3,평범한 삶은 더욱 평범하게 살 수 있게 해준다.(평화로움)  도심에 찌들어 힐링이 필요할때 커피와 핸드폰 들고 배란다로나가 음악과 뒷산 해지는거 보며 하루를 보내는 힐링가능  뒷산 등산 코스 좋음 주말에 자주 애용중  요약 : 가족단위 추천 / 혼자 및 신혼부부 비추 / 층간소        음 예민보스 비추,3,집->정류장까지 5분~10분 거리.  정류장->신림역 출퇴)약 10분~20분 / 예외)약 10분. (한양->신림역 가는 마을버스10번이 제일 가까움),4,"편의점 5분~10분 시장 5분~10분 세이브 마트 10분~20분 (추천) 배달가능 Cafe 10분~20분 호프,술집,빵집,피시방,노래방 10분~20분",3,잡상인X 종교인X  공용현관문O(스마트폰으로 연동하면 열어줄수있음) 주차공간O(카드키 등록하면 알아서 셧터 열고 지하 지상          주차가능) 놀이터O 흡연구역X(흡연금지구역이라 경비실에 써있지만 실상 길빵          많음),3,여름에도 시원함 뒤에 산있어서 공기 좋음.  겨울엔 추움.  아침 6~7시에 집에서 해뜨는거 보임(1동 기준) 저녘 5시~6시 집에서 해지는거 보임(1동 기준)  층간소음 있음(예민보스는 추천X)
4356,한양,40대,여자,자가 거주,기혼,4,당연히 추천이다..연식이 오래되긴했지만 튼튼하고 공기도좋고 대중교통도 가깝고..경사가 있기하지만 뒷쪽에 완만한 길도있어서 올라오기 좋아 어르신들은 뒷길로다니신다..여름엔 아카시아향기 가을에는 밤이 떨어지는 자연친화아파트이다..자동차가 없어도 운동삼아 걸어다닐만 한것같다,4,마을버스가 수시로 다니고 버스정류장도 가까이 있어서 편리함..마을버스타고 10분정도나가면 신림역과 신대방역으로 갈수있어 좋다,5,시장과 마트가 잘되어있고 최근 산책로가 생겨서 잘이용중에있다..산책로가 사진찍으면 예쁘게 나와서 좋다~~^^  산이 바로뒤에있고 호압사와 연결된 등산로가있다..,5,공용현관 관리가 잘되어있는듯하고 경비아저씨가 수시로 순찰하고 청소아주머니가 깨끗한환경을 만들어주신다..그리고 무척 친절하다 재활용장은 항상 오픈이어서 상시 쓰레기 버리기 대만족이다.,5,부엌의 액자뷰가 너무 맘에 든다..밝고 바람잘통해서 쾌적하게 지낼수있다..산이 바로 뒤에있어 공기도 더 좋은것같다..
4356,한양,20대,여자,자가 거주,기혼,4,역세권이 아닌데도 불구하고 교통편이 편리합니다 마을버스가 출퇴근시간 거의 3-5분간격으로 운행되서 편리하게 이용하가능합니다.!,4,역세권이 아닌데도 불구하고 교통편이 편리합니다 마을버스가 출퇴근시간 거의 3-5분간격으로 운행되서 편리하게 이용하가능합니다.!,5,가까운곳에 시장 및 편의점 마트가 있어서 불편함없이 이용가능합니다. 가까운곳에 시장 및 편의점 마트가 있어서 불편함없이 이용가능합니다.,5,청소도 깨끗하고 주차장도 최근 관리가 잘되어 문제없이 주차가능합니다  공용현관 비밀번호가 있어 잡상인이 아파트에 들어오지못해 좋습니다.,4,일조량 충분하고 냉난방 문제 없습니다 소음은 조금씩 있으나 같은 년도 준공된 일반적인 집 소음정도인것같습니다. 분리수거를 매일 오픈해놓아서 편리합니다.
4356,한양,20대,여자,자가 거주,미혼,4,다른 아파트와 비해 부족한 점이 없이 살만한 아파트인 것 같다,4,버스를 타고 10분 이내 신림역이나 신대방역으로 갈 수 있어 꽤 편리하고 웬만한 서울 지역은 버스로 한번이나 두번이내로 갈 수 있다,3,바로 앞에 산이 있어 공기가 맑고 깨끗하다. 슈퍼나 편의점을 가려면 5분 정도 걸어야 하는 불편함이 있다,5,청소아주머니가 매번 청소를 깔끔하게 해주시고 경비아저씨도 친절하셔서 만족한다,5,정남향으로 산이 있어 여름에 시원하고 겨울엔 따뜻해서 난방을 아낄 수 있어 좋다
4356,한양,20대,남자,자가 거주,미혼,3,근처에 편의점도 많이있고 5분간격 마을버스로 2호선 타러가기도 편리함  다만 오르막길 위에 있어서 걸어다니기 힘듬,2,마을버스 정류장이랑 시내버스 정류장이 근처에 있는건 좋은데 내리막길 아래라 가기 귀찮음,4,뒤에 산이 있어서 공기도 좋고 등산하기도 좋은데 여름에 벌레가 많음  대신 여름에 시원하고 겨울에 덜 추움,2,청소가 자주 안되고 감나무에서 감이 껄어져서 더러워지는등 문제가 좀 임ㅅ음  공동 현관도 자주 고장남,4,층간 소음은 조금 있는편이고 일조량은 좋음  냉난방도 모두 문제없이 잘 돌아감
4356,한양,30대,여자,자가 거주,미혼,4,"신림역, 신대방역과 가깝고, 버스 노선도 많아서 출. 퇴근도 편리할 뿐 아니라, 주변에 초등학교, 중.고등학교 등 학교가 많아서 아이들이 다니기 좋은 동네이다 멀지 않은 곳에 보라매공원도 위치해있다 가까이 마트와 시장도 있고, 내부시설도 살기 좋다",3,"조금만 걸어나가면 버스정류장이 있고, 다양한 번호의 버스도 많습니다",4,"바로 조금만 걸어내려가면 시장도, 마트도 주변에 있고, 또 헬스장, 피시방, 도 있어서 주변 환경 살기 좋다 아파트 주차장 뒷길로 조금 더 나가면 산이랑 이어지는 길이 또 나와서 공기도 좋다",4,"공동현관에 아무나 들어가지 못하게 잘 관리되어있고, 경비 아저씨들이 수시로 순찰하셔서, 안전에는 걱정 없이 지낼 수 있다",3,다른 집보다 훨씬 시원한 편이라. 저번 여름에는 에어컨을 몇 번 켜지 않았다
33925,관악산휴먼시아1단지,30대,남자,자가 거주,기혼,5,현상황에선 매우만족  추 후 난곡선 개통되면 만족도는 더 오를듯  10개월 아기키우고 있는데 방음도 잘 되는거같고 만족,5,현재는 좋지않으나 1단지 밑에 난곡선 경전철 확정되어 교통문제 해소되면 또 오를듯함  지금은 자차로 출퇴근하는데 성남인근까지 30-40분소요,4,단지내부도 경사가 있어서 생각보다 힘듬  주차는 약간 빡빡한편이나 실패한적은 없음  귀찮아서 그렇지 조금 떨어진 동에 주차하면 문제는 안됨,5,불법주차차량 단속하고 스티커부착하면서 조금씩 나아지는거같음  단지가 커서 경비실이 여러곳에 있음 메인은 따로있고,5,20층 탑층이라 천고가 높아서 가끔 내집이지만 감성에 젖을때도 있음 다락방도 있고 개인옥상도 있어서 내년여름에는 아기 수영장 만들어줄 생각임 평소에는 날씨 괜찮으면 가족들이나 친구들이랑 바베큐해먹고 여의도 불꽃놀이 할때는 옥상가서 봄
33925,관악산휴먼시아1단지,40대,남자,자가 거주,기혼,5,"단점: 교통이 좋지 않다-지하철역 까지 20분 정도 소요되는거 말고 다른 교통편 나쁘지 않음. 강남 성남 판교 일산 등 타 도시 접근성은 오히려 시내보다 좋아보임  언덕 진 도로는 솔직히 좋지 않으나 장점이 더 많아 커버됨  장점:  1.유해 환경 및 건물없음(개인적으로 중국인 밀집지역, 여관,모텔, 술집이 없음)  조금 단점이라면 관악산오르는 등산객이 종종 있으나 그리 문제있는 수준은 아님  장점  2.거주 환경 좋음   봄,여름,가을,겨울 4계절 경지 좋음   공기 좋음, 소음 없음, 취객 따위도 없음   아이들 어른모시고 살기 좋음   고속도로 및 강남등 타 도시 접근성 좋음",3,"버스가 많기는 하나 그래도 지하철역 까지는 15-20분 걸림  경전철 생기면 교통환경은 아주 좋아질것으로 기대함  자가용은 솔직히 굉장히 좋음,",5,"중국인, 유해 환경없음 그 흔한 pc방도 없음 차 말고는 시끄러운것 없어 아주 좋은 거주 환경임  흔한 취객도 없음, 개인적으로 아주 만족함",4,관리는 딱히 모르겠음 근대 나쁘진 않다고 생각함  관리실에 요청하면 잘 해줌  개인적으로 단지가 커서 오히려 더 잘된다고 생각함,5,"대부분 산으로 둘러싸인 환경으로 경사가 급해서 나쁘나 장점이 더 많은것 같음  대부분 서울에 공기가 나빠도 여기는 좋음  눈,비오면 좀 불편하나 뷰는 최고임"
