danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
37760,백련산파크자이,30대,여자,전세 또는 월세,기혼,5,"아파트 조경도 공원처럼 잘 되어있어 아이 있는 집은 정말 더 할곳 없을거 같아요. 단지내 커뮤니티 정말 잘 되어있어서 좋고, 주차장도 만족하구요. 은평구인데 서대문구랑 가까운 은평구라 서울로 출근하기도 어렵지 않구요. 전체적으로 아주 만족스러운 아파트입니다",3,"이 동네가 전철역이 살짝 애매하죠. 세절역은 도보로 갈수 있다곤 하지만 그래도 거리가 꽤 되서 마음급한 출근시간엔 꺼리게 되고, 녹번역은 걷는거리는 아니고 버스를 타고 가야하는데 버스노선이 딱 2대에 출근시간이 대부분 비슷하기때문에 힐스테이트와 파크자이 거주하시는 분들 모두 비슷한 시간에 버스 탑승합니다. 녹번역 가는 버스안이 정말 힘들어요. 그리고 은평구청에서 녹변역 가는 몇백미터가 아주 많이 막힐때가 있구요.(일주일에 하루-이틀 정도) 근데 녹번역 앞 큰길만 빠져 나가면 바로 버스전용차로가 있어 광화문, 서울역, 독립문 모두 다 자가보다 빠르게 갈 수 있습니다.",4,"소상인가게들이 많고 단지 앞에 꽤 큰 마트가 있어 편리합니다. 아파트 단지 바로 앞은 아니지만 세절역근처 혹 응암시장 큰 길로 나가면 꽤 식당이 많아 저희는 외식 잦은 데 여기저기 다 가보는 중입니다. 그리고 워낙 주변에 대단지 아파트들이 있기 때문에 깔끔합니다. 한가지 단점은 오르막이 있어서 간혹 힐스테이트쪽으로 올라가가거나 녹번역 버스 타러 가는 길이 좀 힘든데, 단지내 엘레베이터도 있고 계단도 설치되어 나쁘진 않아요.",5,입주 한지 얼마 안되서 그런지 아주 깔끔하게 관리되고 있습니다. 이동네 오르막길 많은데 얼마전엔 정문쪽 오르막길에 계단 설치도 됐더라구요. 겨울에 눈이라도 내리면 가파른 오르막길 미끄럽겠다 했는데 아주 관리가 잘 되고 있는거 같습니다.,4,"요즘 확장형 아파트들 다 그렇겠지만 여분공간이 부족해서 살짝 아쉬워요. 거실&부엌 진짜 크게 빠져있고 방이 살짝 작게 빠져있는 구조 인데 요즘 아파트들은 다 그렇다고 하시더라구여. 저희집은 정문쪽 놀이터 보이는 108동인데 겨울이 된 지금은 괜찮은데, 여름에 창문열고 지낼 때 놀이터 아이들 소음이 꽤 큽니다. 아마 놀리터 주변 동은 대부분 그럴거 같은데, 놀이터가 높은 아파트들 가운데 있어서 소리가 어디못가고 갇혀있어서 그런건지. 많이 어렵겠지만 여름날 밤 9시-10시 이후엔 좀 제한이 필요할 것 같기도 합니다."
37760,백련산파크자이,30대,남자,자가 거주,기혼,5,어린 자녀가 있는 가족에게 특히 추천합니다. 단지내 어린이집도 곧 개원하고 초등학교도 도보권입니다. 아직 층간소음은 느낀적없습니다,4,새절역까지 성인남성 걸음으로 8분 걸립니다. 지하철로 출퇴근하는데 이사오기전 알아본거완달리 지하철접근성 괜찮습니다,4,주변 소소한 맛집이있고 큰마트가 가까이있습니다. 주변 아파트중에는 마트나 상가이용이 제일 좋습니다. 주말 마트는 스타필드 20분걸려 가곤합니다,5,동대표 등 아주 열심히 활동하셔서 아파트 환경 등 관리가 잘되고 있습니다. 조만간 출입 통제에 관련된 대책이 잘마련되어 실행될거 같습니다,5,커뮤니티 이용이 정말 좋습니다. 그리고 주변 아파트 대비 평수가 잘빠져 있습니다. 자이 아파트니 만큼 내장재 등도 무척 좋습니다.
37760,백련산파크자이,30대,남자,자가 거주,기혼,5,조경 잘돼있고 아이들 뛰어놀기 좋은 아파트라고 생각됩니다. 강남빼고는 접근성도 좋습니다. 매우 만족하며 살고 있습니다.,3,"새절역은 성인남성걸음으로 걸어서 10분, 녹번역은 버스타고 5분 걸립니다. 광화문, 여의도, 상암 등 강남을 제외한 출근은 좋습니다.",5,"은평이마트 도보로 15분정도 수색이마트 차타고 10분정도.  롯데몰, 스타필드, 이케아, 상암 모두 차로 30분 안에 갈 수 있습니다.",5,무엇보다 조경이 너무 잘 돼있고 주차장이 너무 넓어서 좋습니다. 나무들도 크고 단지내 쉼터도 많이 있습니다. 아직 커뮤니티시설은 오픈 전입니다.,5,차량이 단지내에 들어오지 못하는 만큼 상당히 만족합니다. 조금은 고지대여서 그런지 바람이 잘 들어옵니다. 올여름 에어컨을 3회정도 밖에 안켰네요.
8837,서강스카이빌1차,20대,남자,전세 또는 월세,미혼,4,"주변에 편의시설이라던가 지하철,버스정거장 등이 많이 위치해있어서 좋다.또한 멀지않은 곳에 불광천도 있어서 이 곳을 추천한다",5,역이 근처에있고 버스가 주변에 많이다녀서 편리함 또한 주변에 이마트가 있어서 굉장히 좋은 집임,3,주변에 kfc 롯데리아 이마트 등등 편의시설들이 굉장히 많이 위치해있어서 편리하다 그래서 이 곳 주변에 불광천이 있어서 운동이나 산책을 하기에도 좋다,4,"경비원 분들이 쓰레기정리,단지 앞 청소를 해주셔서 쾌적한 환경을 제공해주신다.그리고 정기적으로 쓰레기차도 와서 쓰레기를 수거해간다",3,층간소음은 대체로 없지만 내가 사는곳에는 가끔 온수가 나오지않거나 물이 아래층으로 새는 경우가 생겨서 조금 불편하다
8837,서강스카이빌1차,30대,여자,전세 또는 월세,미혼,3,주변 생활여건도 좋고 교통편도 편리하여 만족핮니다. 다만 도로 중심에 있어서 문 열어놓으면 소음이 좀 있습니다.,5,"집앞 버스정류장에는 시내로 나가는 버스가 많이 다니고, 응암역과 녹번역 사이에 있어서 3,6호선 이용하기가 좋습니다. 또한 아파트 후문 쪽에는 바로 마을버스 정류장이 있어서 매우 편리핮니다.",5,바로 앞에 이마트가 위치해 있어서 차 없이도 바로 마트에 다닐 수 있어서 매우 좋습니다. 또한 주변에 병원도 많아서 생활여건이 참 좋습니다.,4,한 동 아파트라서 주민이 많지 않아 분리수거 등 매우 잘 정리되어 있습니다. 다만 놀이터가 경비실 위에 조그맣게 위치해있어서 애기들이 놀만한 공간이 없습니다.,3,라인별로 엘리베이터가 있어서 붐비지 않아 좋습니다. 다만 도로를 마주하고 맞은 편에 바로 다른 아파트랑 마주보고 있어서 조금 불편합니다.
8837,서강스카이빌1차,30대,여자,자가 거주,기혼,3,"내부 인테리어도 잘 되어있고, 교통이나 마트, 은행 등의 주변여건이 매우 좋다. 하지만 지은 지 좀 오래되어 3점을 주었다",5,"버스정류장이 가까이에 있고 종로, 명동, 서울역으로 나갈 수 있는 702번 버스가 배차간격이 짧아 편리하다. 지하철은 6호선 응암역까지 도보 10분 정도 걸린다.",5,집에서 1분 거리에 이마트가 있고 주위에 재래시장도 여러 개 있다. 불광천을 통해 산책로가 있어 좋다.,5,세대수에 비해 주차공간이 넓어 주차기 편리하다. 지은 지 좀 오래되긴 했지만 청소 등 관리가 잘 되고 있다.,5,지은 지 오래되어 단열이 잘 되지 않는 것 같아 아쉽다. 겨울에 작은방과 화장실이 너무 춥다.
2953,남가좌현대,40대,여자,자가 거주,기혼,5,서울에 이만한 가격에 여기처럼 깨끗하고 정리된 주변환경을 누리는 곳이 별로 없을꺼 같아요. 특히 유아~ 초등자녀가 있다면요^^,3,버스가 잘 되있어 크게 불편하지도  그렇다고 지하철이 없어 크게 좋지도 ^^ 근데 대부분이 가재울타운에서 해결됩니다~,5,"수색 이마트, 가까운 수퍼는 단지 상가.롯데수퍼 gs수퍼 10분내 가까운 편의점 3개, 초등학교 5분내, 소아과 5분, 홍제천, 놀이터 많~이, 어린이집 단지내 4곳, 유치원 단지내 1개  아이 키우기 좋아요",4,청소는 자주해주셔서 깨끗하고 좋은데 경비아저씨들이 친절하신분과 덜 친철하신분이 .. 조금 그때그때 달라요  젊은입주민들이 단톡이나 게시판등으로 리뉴얼등 많이 개선해 나가고 있어서 곧 좋아질것들이 많아보임,5,"층간소음은 어디든 그렇듯 이웃의 차이가 큰거 같고, 해는 잘 들어요~ 근데 동마다 조금 다를 수도. 엘리베이터가 깨끗하고 넓고 빨라서 좋아요. 샷시등을 교체함 크게 춥지도 덥지도 않고  바람이 참~ 잘통해요!"
2953,남가좌현대,30대,여자,자가 거주,기혼,5,"지금은 지하철과 쇼핑몰 제외하면 만족하는데, 지하철 역세권 될 예정이고 디엠씨역에 롯데 복합몰도 생길 예정이라 점점 살기 좋아질 것 같다.",4,버스 교통은 매우 좋으나 가까운 지하철역이 없는 게 단점임. 다만 경전철 서부선과 강북횡단선이 확정되어 역이 도보 5분 거리에 생길 예정임.,5,"단지 내 마트 있고, 아파트 나서자마자 가재울초등학교 도보 5분 이내로 있다. 그 옆 어린이공원에서 아이들 뛰놀기 좋다. 홍제천 산책로도 도보 5분 이내이고 전체 평지라 한강까지 자전거 타기가 매우 좋음.",5,구축 아파트 치고 관리가 잘 된다. 1층 공동현관 보안이 철저해서 외부인 못 들어온다. 2019년 엘리베이터 교체로 새거이고 매우 빠르다. 관리비가 매우 저렴하다.,4,1000세대 넘는 대단지여서 그런지 관리비가 저렴하다. 지하주차장이 3층까지 있어 여유롭게 주차 가능하고 지하주차장이 밝고 깔끔하다. 다만 주차장 엘리베이터가 없어 불편하다.
2953,남가좌현대,30대,여자,자가 거주,기혼,5,"앞으로 지하철호재에 비해 저평가되어있고, 가재울뉴타운내에 위치해있어서 정비가잘되어있고,아파트촌이라서 유해시설이없다. 서울시내에 평지라 유모차끌기도좋아 육아지원센터,도서관,신설초등학교배정등아이키우기 좋은아파트다.  앞뒤 베란다 건물가리는것 없이 거실베란다에서 안산조망, 뒷베란다에서는 백련산 조망으로 뻥뚤려서 힐링되는 아파트다.",4,"<버스> 06마을버스(연남동,홍대행),272버스(광화문등)가 아파트 바로앞에있어서 편리하고, 도보 5분거리에 명지대사거리 정류장등 7017(이대,서울대),7021(홍제,명동),7019,7611등 버스가 잘구축되어 외부로나가기편리합니다  <지하철> 가좌역(용산,공덕등)도보10분거리로 이용가능하며, 운동삼아 35분정도 연남동숲길 따라 걸으홍대지하도가깝습니다.  지하철이 좀멀다는 단점이있는데   2028년완공예정인 서부선 명지대역, 강북선 명지대역 가재울뉴타운역이  도보5분거리내에 있어 역세권이 될 예정입니다.",5,"단지내 큰마트도있고, 대형식자재마트 도보3분거리에 위치되어있으며,아파트 후문바로앞에 육아지원센터와 물놀이장 청소년수련관 어린이공원등 평지로 이용가능하며,홍제천또한 도보3분거리로 가깝습니다. 신설예정인DMC 도서관도 도보10분거리로 이용가능합니다.",5,"공용현관 개별로 지정해서 비밀번호 지정되어있어서,비밀번호를 누르거나 세대호출을해야문이열리므로 잡상인이 아파트안으로 들어오지못한다.게다가 동마다 경비관리인이 상주하고있어서 외부인이 쉽게접근못하고,택배관리해주시며 호수별로 잘구분하여 분실되지않게 잘전해주신다.",5,"요즘아파트에는 보기힘든 정남향 구조가 많고, 남동향,남서향도 남향을 다끼고있어  햇빛이 잘들어온다.28~42평은계단식 구조다. 튼튼하게지어서 조용하고 층간소음이 적다"
2953,남가좌현대,50대,남자,자가 거주,기혼,3,아파트촌이라서 유해 환경이 없고 이상한 사건이 안 일어나서 좋아요. 하지만 경비아저씨들이 보안 관리를 잘해주시는데도 불구하고 잡상인들이 너무 많이 출입을 해서 골치가 아파요. 시도때도 없이 들어와서 자꾸 물건을 팔려고 하니까 난감하고 불편해요. 또한 학군이 별로라서 아이들 키우시는 집들은 대부분 이 아파트를 싫어하셔요.,3,가좌역이 너무 멀리 떨어져 있어서 교통이 정말 불편해요. 버스도 가끔씩 다녀서 어디 한 번 나갔다 오는 거 자체가 골칫거리일 정도에요. 강남이나 광화문도 너무 멀어서 별로에요.,3,"동네 전부가 다 아파트만 있어서 편의시설이 전혀 없고 그냥 집들만 있을 뿐이에요. 대형마트나 백화점은 고사하고 편의점도 별로 없으니 불편함이 이루 말할 수 없을 정도로 많네요. 학군도 별로인데 학원도 없고, 차들은 쌩쌩거리고 달려서 아이들 키우시는 집 얘기 들어보니 정말 맘에 안 들어하시더라고요. 아이 키우기가 너무 안 좋아서 다른 곳으로 이사를 계획하시는 분들도 많다고 들었어요.",2,"공동 잠금장치가 없어요. 그렇기 때문에 잡상인들이 많이 들어와요. 경비아저씨들이 순찰을 잘 하시는데도 어떻게 피해서 들어오는지 잡상인들이 거의 이틀에 한 번 꼴로 와서 너무 불편해요. 그래서 일단 아예 초인종 전선을 다 뽑아버렸어요. 시도때도 없이 초인종을 눌러대고 뭐 사세요, 뭐 사세요 막 이러니까 정말 난감하고 불편하기 짝이 없네요.",3,아파트촌이다 보니 유해 환경은 없어서 좋아요. 층간 소음도 별로 없고 일조량도 충분히 잘 들어와요. 단지 아쉬운 점은 집이 좁게 설계되었는지 베란다와 거실이 생각보다 좁은 편이에요. 방들도 그렇게 크지도 않고 무엇보다 수납공간이 많이 부족해요.
