danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
17024,장안동신일해피트리,30대,남자,전세 또는 월세,기혼,4,"역세권,다양한 버스노선,편세권,가까운 초등학교,도보록 중형마트 다수 이용가능... 대형마트 자차로 10분내외  주변 새아파트대비 좋은가격,층간소음은 어쩔수 없음...주변 자동차 부품상가가 제일 단점",5,"5호선 장한평역 도보 5~10분이내로, 2호선 과 7호선 환승이 용이함, 천호대로에 다양한 버스노선을 이용할 수 있어 여기저기로 대중교통 이용이 편하다",4,"초등학교가 코앞이며,노브랜드 및 길건너 답십리 현대시장을 도보로 이용가능하며, 주변에 중형 마트가 여러곳 있어 장보기가 편함.  홈플러스 자차로 10분 내외이며, 중랑천공원을 도보로 이용가능하나 주변의 자동차부품상가로 인해 별하나 빠짐...",4,"현관은 카드키로만 출입이 가능하여, 보안은 우수함..지하주차장은 입주민만 이용가능하므로 비교적 주차관리도 우수하나 간혹 자리가 없어 지상으로 주차하는 경우도 있음....  방문객은 절대 지하주차 불가...  아파트 단지내 청소나 청결상태는 비교적 깔끔하게 관리됨..",4,베란다 미확장세대는 아이들 놀이방으로 별도의 수납공간으로 충분히 활용하기 편할 정도로 넓음...  층간소음은 어쩔수 없는듯...
17024,장안동신일해피트리,30대,여자,전세 또는 월세,기혼,1,한동 짜리 아파트를 이 가격주고 살 이유 전혀없음  살아보니알겠음  이래서 살아봐야함  주차공간 너무 부족함  옛날 주차라인이라 세칸씩 되있는데 양쪽끝에 주차하는 날엔 조수석으로 옮겨타서 내려야함 주차공간 아주좁고 너무불편함  지하주차장 내려가는길 좁아서 내차 오른쪽범퍼 긇혔음 내려갈때주의바람  매번 불안해서 지하주차장가기 겁났음,3,장한평역 도보로 5-7분정도 소요  버스정류장도 5분정도 소요됨 대중교통은 보통임  대로변에서 좀 떨어진 곳이라 택시는 절대안잡힌다   바쁠때 택시잡고싶을땐 대로변까지 5분정도 걸어가야하는 불편함이있다,1,자동차관련부품가게들이 많아 기름냄새등 주변환경좋지않음  아주 오래된 옛건물 그대로임  아파트 앞이 일반쓰레기봉투배출위치라 미간상 보기않좋음,2,아파트 공용현관 비밀번호를 아파트회장아줌마만 설정해놓고 입주민은 꼭 카드로만 입출입되게해놔서 카드 잃어버리면 돈주고 다시사야하고 또 가족들 놀러라도 오면 일일히 아파트공용현관카드 손에 쥐어줘서 마트라도 다녀오려면 보내야해서 상당히 불편했음,1,층간소음역시 안좋고 화장실 세면대도 플라스틱 노란색 예전이파트사용한재질이라 그 안쪽은 곰팡이피어있고 등등 오래된아파트라 하면 할말없음 구조상 환기 잘안됨
17024,장안동신일해피트리,30대,남자,전세 또는 월세,기혼,4,"주거 환경을 조금 벗어난곳에 자동차 부품상가로 동네미관 마이너스    나머지 대중교통과 자차이용,마트 편의점 외식 초등학교는 모두 만족    아파트 전세가 및 매매 시세는 모든 환경을 고려했을때 시세에비해 저렴함  나홀로아파트(1~3차)라는 단점",4,5호선 도보로 5~10분     출퇴근 시간기준  동부간선대로 5분이내 진입  강변북로 20분내외 진입(교통 흐름 원만할시 10분내외)  내부간선도로 10분내 진입    나가면 천호대로로 버스노선 다수,3,"초등학교 100m    자차기준  홈플러스1 10분  홈플러스2 15분  코스트코 30분이내    도보10분이내  노브랜드 및 동네 대형슈퍼 4개    도보5분이내  편의점 cu 미니스톱 gs 세븐 일레븐 골라가는 재미    외식은 입맛대로 도보 15이내 모든것 존재    동네 공원 도보1분  중랑천 공원 도보 20분이내(매해 대규모 벚꽃 축제 및 여름시즌 수영장운영, 자전거 및 킥보드 인라인 활동 가능)    자차 20분내외 한강공원    자차 5분이내 동네 쇼핑몰  자차 30분이내 백화점 2곳    주거환경 조금 벗어나면 자동차 부품상가가 많아 별 3개",4,공용현관 카드키  택패 및 배달 기사분 공용현관 드나들기힘들다고 하소연 할 정도로 보완 까탈스러움    방문 차량은 무조건 지상만가능  자하 주차장은 입주민만을 위한 공간    공용부분 청소등 관리 잘됨    관리비 적당함,4,발코니 확장세대는 2평~3평은 보너스  미확장 세대는 넓은 발코니로 활용가치 높음    일조량 좋음    윗집 잘못만나면 층간소음으로 인한 스트레스
17024,장안동신일해피트리,30대,남자,전세 또는 월세,기혼,4,"주변 편의점 마트 골라서 갈수 있고  강남.종로 버스노선 다수  지하절 도보 10분이내  노브랜드 도브 3분거리   동네 쇼핑몰 자차 5분이내  홈플러스1 자차 10분  홈블러스2 자차 20분  코스트코,이마트 자차 30분이내  백화점 30분내외 2곳  한양대,경희대,고대.시립대 30분내외    중랑천공원(여름시즌 수영장 운영,벚꽃축제 매해 개최) 도보 20분  동네 공원놀이터 코앞    외식은 입맛대로 고를수 있음",5,"강남,광화문,종로,여의도등 지하철이든 자차든 모든 이용이 편하다.    지하철 5호선 도보 5~10분     *교통흐름이 원활할시  5분이내 동부간선도로 진입  10분이내 강변북로 진입  10분 내외 내부간선도로 진입  30분내 분당 진입    출퇴근시간  강남역 자차 50분",3,초등학교는 바로 코앞 등하교길은 아이 혼자 서도 거뜬하나 주거지를 조금 벗어나면 자동차부품상가들이 들어서있어 아쉬운점이 있다.  주변 마트나 편의점 음식점들은 충분함,5,택배나 기타 배달 기사문들 공용현관 들어오기 힘들다고 하소연할만큼 경비는 확실함  1층 현과 카드키로 입주자도 비번모를정도로 까탈스러움 절대 안알려줌  공용부분 계단 및 놀이터 청결하고 꾸준한 관리잘됨    관리비 적당함     외부인 주차는 지상만할 정도로 주차관리 우수함,4,발코니 미 확장세대는 아주아주 넓은 발코니로 수납 공간 및 활용도 높음  확장세대는 3평은 그냥 덤으 생김    햇빛 잘들고 여름에는 시원함    윗집 잘못 만나면 층간소음으로 인한 스트레스는 감수 해야함
17024,장안동신일해피트리,20대,여자,자가 거주,미혼,3,괜찮은 주거환경이지만 주변에 큰 마트가 없어서 약간 불편했다,5,지하철역이 걸어서 5분도 안 걸렸고 버스정류장도 매우 가까웠다,5,주변 환경은 자동차 정비시설이 많아서 깔끔하고 좋은 환경은 아니었지만 그래도 괜찮았다,3,보통 아파트처럼 밖에서 비밀번호나 마스터키를 찍고 들어와야 했으므로 비교적 안전했다 관리 아저씨께서 순찰을 도시기 때문에 괜찮았어,3,베란다가 넓고 남향이라 햇빛은 잘 들어왔다 또 바람도 잘 통해서 여름에는 시원했고 겨울에는 따뜻했다
17024,장안동신일해피트리,30대,남자,전세 또는 월세,미혼,4,주변상권 다좋고 교통 여가시설 상가 등 대체적으로 가까이 있다.,5,장한평역이 엎어지면 코 닿을 곳임. 버스정류장도 가깝고 동부간선도로도 바로 앞이어서 여기저기 나가기가 편함.,4,걸어서 510분 안으로 이마트 장안점이 있고 초등학교도 바로 앞이며 여가 생활하기도 좋다.,2,주차관리가 살짝 아쉽다. 지상주차... 다른 부분은 괜찮다.,4,거주의 장단점은.. 잘 모르겠다. 집은.. 잠만 자는 곳이라..  햇빛 잘 들고 바람길이라 시원하다
12037,장안동현대2차홈타운,40대,여자,자가 거주,기혼,5,"도로가에 바짝 붙어있지 않고 적당한한 거리를 두고있어, 조용하고 번잡스럽지 않아 추천합니다 생활하는데 불편하지않고, 1단지쪽의 좀 버잡한 상가를 이용할수도 있습니다 학교, 극장, 대형마트 다 주변에 있고, 적당한 인구에, 복잡거리지 않고, 살아오면서, 가격대비 잘샀다고 생각합니다",4,"버스와 전철이 멀지않은곳에 잇어,편리합니다. 큰도로와 이면도로 중간에 있어서 버스정류장까지는 3분정도 걸으면 되고, 전철은 10분정도 걸으면 되구요",5,"코앞에 마트2개, 어린이공원 있고, 어린이 공원바로 뒤쪽에 아파트가있어서, 길가가 아니라서 참 좋네요 아트몰링대형마트, 극장, 걸어서 갈수도 있구, 장안동뚝방길~배봉산까지 연결되는 산책로가 가까워서, 운동 자주합니다 군자역~배봉산까지 왕복하면 8Km정도 되는데, 가끔 운동합니다 중랑천도 가까워, 자전거도 가끔 탑니다",5,"경비아저씨가 지키고있고, 현관에 들어가려면 키가있어야하므로, 키만 안 잃어버린다면 잡상인이 안와서 좋습니다 저는 핸드폰에 끼워서 다니죠, 한번 잃어버렸는데, 경비아저씨가 알아보시고, 바로 열어줬어요, 재활용분리수거나, 쓰레기장도 지저분하지않게, 바로바로 처리해요, 여름에도 쓰레기장 주변에 벌레같은거 없어요 깔끔한편입니다 밤에 귀가하기도 어두운길을 지나지 않으니, 안전하구요.지하주차장은 환해서 여자들이 파킹하기도 편합니다",5,"아파트 앞에 작은 공원이 있어 바람도 잘 드러오고, 건물사이간격 좁지 않고, 모든 건물 다 남향이고, 적당하게 나무와 풀이 조성되어있어 쾌적합니다 각방방마다 난방을 조절할수있어서, 절약이 되죠."
12037,장안동현대2차홈타운,20대,여자,전세 또는 월세,미혼,4,교통도 편리하고 조금 걸어가면 상권도 괜찮은것같다. 집근처는 조용해서 살기좋다.,5,도보 2분거리에 버스정류장이 있고 3정거장만 가면 지하철역이 있다.,4,10분정도 걸어가면 대형쇼핑몰이 있고 주변에 화장품가게나 음식점도 많다.,4,"잡상인 잘 안들어온다. 청소 하시는 분이 친절하고 항상 열심히 하신다. 단, 경비 아저씨는 하시는 일이 거의 없어보인다.",3,층간소음 심하다. 해가 잘 들어와서 낮에 좋지만 배란다 확장공사를 하니 수납공간이 부족하다.
12037,장안동현대2차홈타운,30대,남자,전세 또는 월세,기혼,3,근처 중형 마트가 있고 백화점도 있습니다. 놀이터가 있어 다소 시끄러울 수 있으나 이 정도 아파트면 꽤 만족합니다.,5,"장한평역과 도보 10분 거리입니다. 버스를 이용할 수 있는데 배차간격이 짧아서 불편 없이 역까지 이용 가능합니다,",5,주변에 바우하우스가 있어서 쇼핑하기 편리하고 도보 5분 거리에 둑길이 있어 운동하기 좋습니다.,5,경비아저씨가 친절하십니다. 분리수거 관리가 철저하고 택배 관련 업무도 철저하게 하십니다.,3,바로 앞 놀이터가 있어 여름에는 다소 시끄러울 수 있습니다. 정남향 아파트라 햇살은 잘 들어옵니다.
15365,화양타워,30대,남자,전세 또는 월세,미혼,3,교통여건 좋고 가격대비 평수가 넓음 편의점 가깝고 술집도 가까워 술마시러 나가기 좋음 싼가격에 좋은집은 어차피 없음,5,어린이대공원역 5분거리 버스도 많고 강남진입 용이함 아침저녁으로 차가 막히긴하지만 교통여건과 입지는 아주 좋은편임,4,"어린이대공원 도보 10분 거리 동사무소와 경찰서가 1분 거리이고 편의점이 가까이 있어 편리하지만 유흥가 안에 위치해있어 조금 시끄럽고 아파트 진입로가 가파른 언덕이어서 눈, 비 오면 힘들거나 위험할 수 있음 반대편 오피스텔 입구쪽으로 돌아서 들어올 수 있음 아이를 키우는 입장이라면.. 고민 좀 될듯함 아파트입구 바로앞에 아이들 돌봐주는 교회가 있는것같음 싱글이라 운영하고 있는지 확실치는 않음",2,"80대 경비원님 한분이 24시간 365일 근무 청소는 각세대별로 알아서 각자해야함 경비원님 주무시면 택배 못찾음 택배 분실된적은 없으나 찾을때마다 뭔가 눈치보임 관리실은 없음 알아서 관리해야함 그렇다고 관리비가 저렴한건 아님  주차장 자리는 넉넉하지만 지하 3,4층만 주차가 가능하고 차단기 리모콘을 항상 소지하고 다녀야함 방문객차량있을시 매우 불편함",3,"바람이 잘통하고 햇빛이 잘들어옴 겨울엔 좀 춥지만 여름엔 시원함 어르신들이 많아 복도나 계단에 야채들이나 생활용품들, 쓰레기봉투 등이 항상 쌓여있음 층간소음은 있음 특히 화장실 소변소리나 물내리는 소리는 항상들림"
