danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
18944,길음뉴타운10단지,40대,여자,자가 거주,기혼,5,"대단지는 커뮤니티센터의 장점이 있지만 굳이 주민들과 얼굴마주하며 운동하거나 취미갖고싶지않고, 물건 하나 살래도 정문까지 엄~청 걸어야하는단점이 있음 성향에 따라 다르겠지만 난 조용하고 편리한 호텔식이 정말 마음에 들고 네임밸류가 없어서 그렇지 시설에 비해 저평가 되어있음.  자재 하나하나 다 엄청 좋은것들로 지었음.",5,길음역과 정릉역 노래들으면서 가면 1곡+그다음곡 초입부 들을때 도착. 버스정류장이 바로 집앞. 은평구 도봉구 종로구 강남구 동대문구 다 있음. 주변 뉴타운중에 가장 시내랑 연결이 빠르고 편리하고 차 안막힘.,5,"주상복합식 아파트라 1층에 식당, 베이커리, 마트, 애견샵, 카페, 골프장 등 다 있음. 비올때, 찌개끓이다 두부없을때 내려가면 비도 안맞고 2분이내 테이크 가능 백화점, 극장, 도서관, 학원 등 주변에 차로 10분 이내로 다 있음.",5,"아파트 청소확실, 관리실 직원 친절. 쓰레기 배출 매일 실시. 홈네트워킹으로 입차 알림이 있고 전기, 가스 실시간 사용내역 확인가능. 실내등 온오프, 환기시스템 조절가능.",5,"봄에 벚꽃이 화단에 가득, 여름에 해를 피해 놀 수 있는 놀이터 층간소음이 아주 없지는 않지만 주상복합식이라 타아파트에 비해 현저히 적음. 해가 잘 비춰 겨울에 따뜻하고 우울증따윈 있을 수 없음. 도로 상황이 다 보여서 속이 시원함"
18944,길음뉴타운10단지,50대,남자,자가 거주,기혼,5,"지하철, 버스 등의 편리한 대중교통과 대형마트와 재래시장이 가까우며, 화장형 아파트로 넓은 실내공간의 가성비 우수",5,지하철 길음역 국민대입구역이 5분 이내 거리 아파트 바로 앞에 버스정거장이 있어 대중교통 편리,4,백화점과 재래시장 등의 생활편의시설이 가깝고 초중고 대학이 근처에 있는 등 교육환경이 양호함.,4,소규모 단지의 장점이 깨끗한 단지 관리와 친절한 관리사무소 직원과 가족같은 경비원들과 있는소담한 아파트,4,확장형 아파트로 같은 평형 아파트 대비 실내가 넓고 전세대 남동 남서향으로 겨울에 따뜻함 가성비 우수
18944,길음뉴타운10단지,40대,여자,자가 거주,기혼,4,같은평대 다른아파트를 둘러보았지만 이렇게 넓게 나온집은 없다.그만큼 공간의여유가마음의여유를 준다.  가성비최고 아파트,5,버스정류장이바로앞고.길음역.경전철도보5분거리  내부순환로진입하기좋으며 시내로의이동도 아주좋다   비로는날은 버스에서내려서우산없이도 비를맞지않을수있음,5,1층에 롯데슈퍼.파리바게트.이디야등 입점되있고 도보5분거리 재래시장및 현대롯데백화점이가깝고  이마트 홈플또한 가까움.  각종은행및농협등도 많아 아주편함,5,무엇보다 쓰레기분리수거를 상시할수있어서 집에 쓰레기를 쌓아놓지않아도된다.  단지가 아담한만큼 정리정돈이 잘되어있음,4,남서향이라 채광이 아주좋아서 겨을엔 낮에 난방을꺼도 무방하다.  대신여름에 더 더운감은있지만 요즘여름날씨엔 어디아파트을다나 에어컨 켜기는마찬가지라 큰불편음 없다
18944,길음뉴타운10단지,40대,여자,자가 거주,기혼,5,교통우수.편의시설우수.같은평수 다른아파트를 비교해보면 너무 넓어서 생활여유가 많다  30평대는 40평대로40평대는 50평대로 생각하는시람이많음 가성비우수,5,버스정류장이 바로앞이라 비가와도 우산없이 아파트냐로 진입가능하며 지하철4호선.경전철등이 도보5분내에있음 .시내로의접근성과 내부순환로등이바로연결되어 우수함,5,1층에 롯데슈퍼가입접해있고 도보5분내에 재래시장이있으며 현대.롯데백화점.이마트홈플러스등 대형마트가 가까움 .생활편의도 우수,5,주차장이넓고 단가작은만큼 경비아저씨가 새벽순찰도 잘하심.단지청소도 깨끗하며 무엇보다 쓰레기배출일 따로 정해져있지않고 자유여서 쓰레기를 집에쌓아놓지않아서 너무좋다,4,남서향이라 채광이 아주우수해서 겨울엔 낮에 난방을끄고 들어온빛으로만도 충분히 따뜻하다  다만 여름에좀더운감이있지만 요즘은 어느아파트나 에어컨안키고생활할수없는것은 같아서 만족함
18944,길음뉴타운10단지,40대,여자,전세 또는 월세,기혼,2,10년간 갭투자하기 좋은 아파트였으나 최근 급등해서 투자 메리트보다 실거주에 적합하고  소음이 너무 심해서 실거주자 입장에서는 추천하고 싶지 않다. 특히 향후 재건축이 불가능한 용적률 때문에 투자가치가 거의 없다.,4,"승강장이 있어 버스타기 좋습니다. 전철역은 15분정도 걸립니다. 백화점, 마트는 차로 20-25분 정도 걸리는 편이다.",2,"주변환경은 대로변과 내부순환로 바로 옆이다 보니 교통은 좋지만 소음과 매연, 분진은 많을 수 밖에 없음. 밤에도 새벽에도 차가 계속 다녀서 학생 이 공부하기 어려울 정도임. 차가 출근시 많이 막히고 내부순환로 타는데 많은 어려움을 겪고 있음.",2,"3개동 아파트로 소형이니 단지 편의시설은 거의 없는 편임. 아파트 현관문이 자주 고장나서 아무나 출입 할 수가 있어 불안할 때가 있다. 보통고장나면 3,4일 정도후에 고치는 것 같다.",2,"유명 건설사가 아니다 보니 내장재가 부실하고 12년차를 맞다보니 계속 고장나서 수리비, 수선비가 많이 든다. 창문을 열면 내부순환로 소음과 버스 소리가 너무 크게 드려서 노이로제 걸릴것 같아 여름에도 문닫고 에어컨 계속 틀고 지냈다."
18944,길음뉴타운10단지,30대,여자,자가 거주,기혼,5,주변시설이 풍부하고 교통도 편리하며 평수에 비해 가격도 저렴하고 단지는 작지만 알찬 아파트이다. 주민들도 다들 여유가 있고 이곳으로 이사하면서 삶의 만족도가 아주 높아졌다. 브랜드 아파트 작은평수에 살바에야 이곳으로 오는걸 추천한다.,5,"4호선 길음역, 우이신설선 정릉역 도보 6~7분으로 두역모두 이용이 편리하다. 아파트 바로앞에 아파트이름의 버스정류장이 있고 바로길건너에 반대편으로 가는 버스정류장이 있다. 지하철역에서 아파트까지 버스 한정거장 거리라 지하철타는경우 아무버스나 잡아타고 한정거장 환승하면 아파트 도착한다. 물론 걸어가도 무방하다. 강남까지 거의 직선코스로 가는 버스도 있고 서울시내 주요 거점으로 가는 버스가 다있어서 출퇴근도 용이하다. 서울시내를 가로지르는 4호선 라인의 길음역과 함께 정릉역도 1,2,4,6호선과 연결되어 있어 지하철 출퇴근에도 좋다. 바로앞에 내부순환로가 있어 차로 이동도 편하다. 부부가 혜화,건대로 출근하는데 둘다 출퇴근 시간이 각각 12분,30분으로 줄어서 대만족하고 있다.",5,"아파트 상가에 롯데슈퍼가 꽤 큰규모로 있고 상가내 실내골프장, 피부관리실,세탁소,파리바게트,농협 등 알차게 입점되어있어 멀리갈 필요가없다. 또한 바로 옆 9단지 래미안 상가가 붙어있어 두아파트의 상가를 제집처럼 이용가능하다.(래미안 상가에는 경기마트,문방구,미용실,편의점,ATM,세탁소 등이 있다) 그옆에는 길음시장이 있고 근처에 롯데마트와 이마트 등이 차로 10분거리에 위치해있어 다양하게 장볼수있다.  주택가 중심에 위치해 근처에 공원이나 산책할곳이 적긴 하나 근처에 국민대 고려대 성신여대 동덕여대가 있어 대학가 주변 번화가들이 멀지않게 위치해 있다. 바로 길건너 주택가에는 오래된 식당촌이 형성되어 있고 (정말강추하는)농산물도매센터가 있는데 과일야채가 무척 저렴하고 24시간운영하여 자주이용하고 있다.",5,"3동으로 이루어진 소규모의 단지이다보니 경비실은 하나뿐이다.하지만 경비원아저씨가 택배도 잘받아주시고 안찾아가면 집으로 인터폰도 하시는등 성실하시고 민원이 생기면 관리사무소에서 금방금방 해결해주신다. 단지내로 차량출입이 불가하여(이사나 택배차 제외) 아이들이 놀기에 안전하다. 주차장은 B1 상가주차장과 B2~B4 주민들용 주차장으로 나뉘어 관리가 잘되어 있다. 주차공간도 넉넉하고 지하4층에는 최근 전기차 충전소도 3대나 설치되었다. 단지내 청소도 잘되어 쓰레기가 굴러다니는것을 본적이 없다. 가장 좋은건 분리수거,음식물 쓰레기 버리는것이 매일,24시간 가능하다. 아파트 한켠에 마련된 분리수거장에서 언제든 쓰레기를 버릴수 있어 편리하다.   집마다 설치되어있는 인터폰으로 커텐도 조절가능하고 엘레베이터 콜기능도 있고, 내집문앞,현관,놀이터까지 화면으로 지켜볼수 있어 안전하다. 환기시스템을 작동할수도 있고 등록된차가 주차장에 들어오면 알람도 뜬다. 가장 좋은점은 전기비 가스비 수도비를 일별,월별로 실시간 볼수 있다는 것이다. 또한평수에 비해 관리비가 아주 적게나온다. 보통 세대수가 적으면 관리비가 비싸진다 하는데 이곳은 예외다. 거의 10평대 아파트 수준으로 나온다.",4,"에어컨과 공기청정기가 빌트인되어있고 방두개와 거실에 에어컨이 각각 설치되어있어 필요한 공간만 냉방할수 있다. 빌트인 에어컨 때문에 천장두께가 더 두껍게 지어져서 집에 혼자서 조용히 있을때를 제외하고는 층간소음이 거의 들리지 않는다. 해가 잘들어서 여름에는 냉방을 충분히 해야되는 대신 겨울에는 아주 추울때 하루 한시간만 난방해도 될만큼 따뜻하다.  내분순환로 때문에 소음과 먼지를 걱정하는데 창문 닫으면 소음은 거의들리지 않고 열고 있어도 크게 시끄럽다고 느낄정도는 아니다. 저층은 아무래도 먼지가 있을수있겠지만 고층은 특히나 먼지가 더 심하다거나 하는건 없다.  아파트 뒤쪽으로는 경남,래미안 아파트가 있지만 앞으로는(내부순환로가 보이는 쪽) 낮은 주택가가 길건너 넓게 분포해 있어 숨통이 트이는 전경이 보이고 특히나 내부순환로가 쭉 보여 야겅이 특히나 예쁘다. 창가에 테이블 하나 설치해 야경보면서 술한잔 하면 딱좋다."
18944,길음뉴타운10단지,50대,남자,자가 거주,기혼,5,거주해 보지 않고서 주변 공인중개사의 왜곡되고 편견의 정보 때문에 극도로 저평가 되어 있기 때문에 매수자와 매도자의 견해 차이가 커서 거래사례가 많지 않다.  대단지는 단지내 이동거리만해도 출근시간에는 대중교통 접근성에 단점으로 작용하는데 여유로울 땐  주변의 모든 공동시설을 다 누릴 수 있는 장점을 가지고 대중교통 도로 접근성이 뛰어나서 출근길 빠른 탑승에도 최고의 강점을 가지고 있다,5,교통은 길음뉴타운 대단지 중에서도 전철과 버스  등 대중교통 접근성이 매우 우수하여 서울3대 핵심권에 1시간 내에 도달할 수 있는 교통인프라가 잘 갖추어진 곳이다,5,"단지 주변에 숭덕초 계성고 대원고 등 초,중등학교가 위치하고 인근에 고려대 국민대 성신여대 경원대 등 학교시설이 잘 가추어져 있고 이마트 혀ᆞ대백화점 등 중소형 마트가 많아 거주에 최적화 되어 있다.",5,300세대 조금 모자라는 3개동으로서 혹여 재건축 또는 리모델링 등 대수선을 한다거나 공동주택관리상 주민의견을 모으는데 큰 어려움 없이 잘 진행시킬 수 있고 관리비도 저렴하고 적정관리될만한 수준이라 단지구성이 잘 되어 있다고 본다,5,단지 앞에 내부순환로가 있어 창문을 열었을 때 차량 소음이 거론되는데 교통이 우수한 곳 치고 차량이동 소음이 없는 곳은 없을 것으로 본다. 우수한 창호시설이 구비되어 소음방해를 느끼지 않고 휴식과 취침에 지장을 받지 않는다.
18944,길음뉴타운10단지,20대,여자,자가 거주,미혼,5,추천한다   우선 교통이 매우 편리하다 새벽까지 막차가 다녀서 만족한다 그리고 주변에 마트나 백화점이 많아서 좋다,5,버스정류장이 바로 앞이고   지하철역 도보 7분   이번엔 전철역이 새로 하나 더 생긴다(7월 예정),5,버스 타면 10분 내에 현대백화점 이마트 등에 갈 수 있음   바로 밑에 롯데슈퍼 등이 있음,4,주차를 하려면 미리 배부받은 카드를 지참해야 한다   공동현관은 카드를 사용하므로 안전한 편이다,4,창문이 미닫이가 아니고 전체가 다 열리지 않아서 환기하기가 약간 불편하나 공기청정기가 있어서 괜찮다   일조량은 매우 만족한다
18435,길음7구역두산위브,40대,여자,전세 또는 월세,기혼,5,"지하로 상가가 연결되어있어 눈,비오는 날에 참 편리해요.  주차공간도 많아 걱정할 필요없고 실평수가 넓게 빠져 34평이 38평같습니다. 특히 7단지 주방은 넓고 깔끔하게 빠져 인근에서 유명하죠~",5,길음역까지 10분 15분이면 충분~ 마을버스도 노선 많고 자주와서 어디든 편하게 갈수 있습니다. ,5,"이마트,롯데백화점,현대백화점 차로 15분 거리에 있어 쇼핑, 장보기에도 편리하고 상가에도 맛집들이 많습니다.",5,단지는 항상 깨끗하게 정리되어있고 특히 경비아저씨께서 참 좋으십니다. 재활용정리도 아저씨들께서 신경써서 관리해주셔서 항상 깨끗합니다.,5,올 확장이지만 방바닥 따뜻하고 단열이 잘되어 정말 따뜻해요. 여름에는 앞뒤가 다 뚫려있어 에어컨을 잘 틀지않아도 될 정도로 바람이 많이 붑니다.
18435,길음7구역두산위브,40대,여자,자가 거주,기혼,5,한번도 안 살아본 사람은 있어도 한번살면 절대 떠나지 않은 7단지입니다. 단지내 평수 늘려 이사하는 사람도 많아 701동은 길뉴내 인기동입니다.,5,바로 앞 마을버스가 근처에 있어 편리합니다. 지하철 타기에도 좋습니다. 도보로 다니기에도 좋습니다.,5,상가에 학원들이 많아 보내기 편하며 단지내 차량진입이 없어 아이들 학원셔틀 태우기 안전합니다. 701동은 동앞에 나가기만 하면 바로 픽업모드라 더욱 편리합니다. 유명한 예약제 소아과가 있어 이용이 좋고 마트 외 상가편의 시설이 매우 좋아 아파트지만 주상복합 부럽지 않습니다.,5,현관 IoTpass서비스를 이용하여 핸드폰만 가지고도 입주민은 현관문이 열립니다. 경비 아저씨들이 매우 친절하며 부지런하십니다.,5,해가 매우 잘 듬. 시스템에어컨이 기본이라 층고가 있어 층간소음이 덜함. 뉴타운네 가장 중심부라 편리함. 주방이 넓어 요리하기 좋습니다.
