danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
6663,영풍마드레빌,30대,여자,자가 거주,기혼,5,가성비가 너무 좋은 아파트. 주차도 지하2층까지 있어 한번도 주차 못한 적 없고 지하에서 바로 집까지 연결됨. 나홀로아파트라 현재 가격이 저평가 된 것으로 판단되지만 여기 입지가 솔직히 매우 훌륭함. 어짜피 이 동니는 주변에 나홀로가 많아서 흠도 아님. 실거주오 최상인 아파트,5,강동구청역까지 직선거리 500m 이하. 여자걸음 도보 6-7분정도 소요. 잠실가는 버스도 많고 바로앞에 올림픽대로라  여기저기 바로 빠져나가기 매우 좋음,5,"바로 옆 농협 하나로마트 매일 해서 장보기 좋음. 천호의 현대백화점, 잠실 롯데타워, 롯데백화점 가까워 이용하기 좋음 올림픽 공원 대로 쪽에 스타벅스, 폴바셋 등등 커피전문점과 요새 sns 에서 핫한 카페가 주변에 많이 생겨 젊은 사람들이 카페투어로 많이 와서 그런지 젊은 분위기와 송리단길 초기 느낌으로 향후 매우 기대됨. 집앞에 이런것들이 많이 있어 삶의 질이 달라짐. 가성비 짱",5,관리사무소 아저씨와 경비원 아저씨 일 너무 성실하고 열심히함. 살다살다 이렇게 열심히 일하는 분들은 솔직히 처음봄. 아파트 관리도 잘 되고 이웃 사람들도 요새 답지 않게 정이 많은 편 만나면 인사인사.,5,햇빛이 매우매우 잘 듬. 올림픽 공원 조망 가능한 집 대다수. 올림픽공원 및 롯데타워에서 불꽃놀이를 집에서 편안하게 정면으로 볼 수 있어 호텔에 온 느낌. 올림픽공원은 코앞이라 아기 키우는 부부나 산책 좋아하는 사람들은 삶의 질이 매우 높을 것임 횡단보도 하나 건너면 올림픽공원.
6663,영풍마드레빌,30대,여자,전세 또는 월세,기혼,4,공원도 가깝고 지하철과 버스 이용이 가능해서 괜찮은듯해요 소형평수가 없어서 가격은 비싸지만 아이들 키우기에 좋은 환경 공원 가깝고 농협 하나로마트 앞에서 금요일마다 금요장도 있어서 나이 드신 분들 좋아해요,3,도보 510분 거리에 지하철과 버스가 있어서 나쁘지 않은 교통환경이다,4,길 거너 바로 올림픽공원이 바로 앞에 있어서 너무 운동하기 좋다 농협 하나로마트가 5 분거리에 있어 괜찮고 편의점도 많아서 좋다 동네 큰 슈퍼가 없어서 조금 아쉽다,2,청소도 깨끗하게 되어있고 조용한 편이다 단지 정문 앞이 골목길처럼 좁은데 차가 많이 다녀서 좀 불편하다,5,앞이 트여있고 공원도 있어 조망도 괜찮고 놀이터도 바로 앞에 있고 유흥시설이 근처에 없어서 아이들 키우기 좋다
6663,영풍마드레빌,30대,여자,자가 거주,미혼,5,"무조건 강추이다! 위에 적은 이유들을 종합해보면 알 수 있을 듯.. 아이가 있는 집이든 노년 부부이든 신혼부부이든, 각기 자신들의 환경에 맞게 이 집과 주변 환경을 이용하며 살아가기 너무나 최적의 밸런스를 가지고 있다.  그리고 완전히 대로변에 위치한 아파트가 아니어서 임지 가격이 그에 비해 저렴한 시세인 편이다. 또한 한 동만 있는 작은 단지이기에 더 조용하고, 빠르고 깨끗한 관리가 이루어지고 있다고 생각된다. 가성비가 뛰어난 아파트라고 생각한다.",5,"강동구청역 도보 5-10분 거리  배치간격 10-15분인 버스 집 앞을 지나가고  도보 10분 거리에 버스노선이 상당히 많음!   강동구청역은 8호선이지만, 몇 정거장 나가면 잠실역(2호선)과 천호(5호선) 역이 있어서 시내 접근성도 훌륭한 편  그래도 큰 길가에 있는 집 치고는 바로 길 옆이 아니라 그런지 소음과 먼지가 덜하다는 생각이 듦. 주거에 최적!!",4,"근처에 대형마트 도보 5분 거리에 1개,  도보 10분 거리에 3개 있으며 24시 편의점은 집 근처에 매우 많아서 사는 데 지장 없이 편리함. 인근 천호역과 잠실역에 각각 현대백화점/이마트 , 롯데백화점/롯데마트/제 2 롯데월드가 있어 쇼핑하기도 좋음  근처에 강동 cgv 영화관도 있고 도보 5-8분 거리라 조조. 심야영화 보기에도 너무 좋고  올림픽공원 도보 10-15분 거리에 인접, 한강시민공원으로도 이어지는 워터웨이 산책코스도 있고 한강시민공원까지의 접근성도 도보 15-20분으로 훌륭하다.  강동구청 근처라 (도보 5분 내) 근처에 은행, 동사무소도 가깝고.. 관공서 주변으로 직장도 많아서 오히려 주거하는 오전/저녁 시간에는 매우 조용해 전반적으로 너무나 살기 편리한 곳!",4,"단지 청소는 주 1-2회로 매우 청결한 편이며, 특히 음식물 쓰레기장이 매우 깨끗하게 관리가 잘 되어 불편함이 없다.  또한 가장 좋은 점으로는 분리수거일 제한 없이 매일. 어느 시간대에든 우리 집 쓰레기를 내다 버릴 수 있다는 것! 경비 아저씨의 관리도 깨끗하게 자주 이루어져서 악취나 경관을 해치는 풍경은 별로 본 적이 없다.  경비실에서 택배 보관도 잘 해주시고 한 번 잃어버린 적이 있긴 하지만 그 뒤 론 관리가 잘 되고 있어 큰 불만은 없다.  주차장도 부족한 공간 없이 적당하다. 한 동 짜리 아파트라 더 깨끗하고 관리가 잘 되는 듯.  물탱크 청소, 놀이터 개보수, 엘리베이터 점검, 소독 등도 정기적이며 확실하다.",5,"주변 주민들이 좋아서인지 층간소음 발생은 거의 없었다. 정남향으로, 특히 앞에 방해받는 건물이 없어서인지 일조량이 풍부하고. 거실에서 정면으로 보이는 올림픽공원의 4계절은 변화무쌍하며 실로 진풍경이다. 자연을 마주하며 매일을 맞이할 수 있어 참 행복하다.  냉난방은 개별적으로 관리하며 큰 문제없다."
139,가락금호,50대,여자,자가 거주,미혼,5,교통.투자가치.거주환경 모두 괜찮음.층간소음은 어느 아파트와 비슷함.리모델링 사업이 비교적 순조롭게 진행되고있음 젊은 집주인이 많음,5,지하철 버스 모두만족합니다. 교통은 광역버스까지 불편함이없다. 주차가 다소 불편하다.지하주차장이 있지만 1가구에2대 소유 가구가 점점 늘어나는것ㄱㆍㅌ다,4,"마트.백화점.편의시설 모두가 좋은편이다.. 초등학교,중학교가 가깝다,전통시진  가락시장의 냄새도 없다.",4,"중앙난방에서 개별난방으로 전환하였고 관리소장이3년전 바뀌고 난후 열심히 하는것같다. 주차 차단기교체,외관페인트.코킹작업등...",4,가락시장 먹자골목으로 별하나 뺐습니다. 그외 아이 키우는 젊은 맘들에게는 딱좋은 거주환경입니다.재래시장.마트.도소매 모두가 근처있어요
139,가락금호,20대,여자,전세 또는 월세,미혼,2,가까이에 대형마트 편의점 빵집들이 많아 편하고 주변에 버스정류장도 있어서 엄청 만족을 하지만 주변에 주차공간이 엄청 없고 잡상인이 많이 들어와서 별로다 그리고 가로등설치가 시급할만큼 밤에 길이 너무 어둡다,5,버스정류장이 도보 3~4분거리에있고 배차 간격이 짧아서 등하교할때 엄청 편리하다 하지만 근처에 공항으로 가는 버스가 없어서 불편할때가 있다 그리고 자가용차가 불법으로 주차는하는경우가 있어서 불편할때도 있다,2,"집에서 10분거리에 롯데마트가 있고,3분거리에 한솔마트가 있고 아파트 주의에 편의점이 많아서 장을 보러 가거나 필요한 물건이 갑자기 생겼을때 매우 편리하다",2,공용현관의 비밀번호는 소용이 없는듯 하다. 잡상인이 아파트안으로 많이 들어오기 때문이다.그래서 범죄가 많이 일어날까봐 두렵다 택배를 경비아저씨가 모아두시기 때문에 잃어버릴경우의 수가 적다,2,베란다가 넓게 트여있지 않아 바람이 더 들어와 여름에 에어컨을 항상 켜야한다 그리고 낮에 햇빛이 너무 많이 들어와서 엄청 불편하다 주차공간이 엄청 적어서 불편하고 오래된 아파트라서 층간소음도 심하다
139,가락금호,20대,여자,전세 또는 월세,미혼,4,입지는 최고다. 하지만 아파트가 노후화되었고 복도식이라 바람이 잘 안통하는게 단점이다. 춥더라도 꼭 현관문과 베란다 창문 열어놓고 환기를 하고는 있지만 샤워하거나 요리하면 또 금방 습기가 찬다.,5,"아파트단지 나가면 바로 버스정류장 있음. 정류장에 서는 버스가 많아서 서울 어느 지역이든 버스타고 가기에 무리 없다. 도보로 5분 거리에 3호선, 8호선 환승역인 가락시장역이 있다.",5,"단지 바로 앞에 편의점(GS25) 있고 뒷쪽 골목으로 올라가면 CU 있음. 도보 가능거리에 롯데마트, 다농마트, 새농마트, 가락시장이 있다. 저녁 산책삼아 왕복 1시간 거리로 올림픽공원 갈 수 있고 주변에 작은 근린공원들도 많다.",5,경비아저씨가 택배 보관 잘해주시고 택배 안찾아가면 직접 집으로 연락도 주심. 주차장은 좀 좁긴 하지만 외부차량 못들어오게 통제가 잘 되는 것 같다. 한 번 경비아저씨 안계셔서 친척분이 말 안하고  차 세워놨다가 30분만에 딱지 붙은 적 있음.,3,복도식이라 밖으로 통한 베란다&창문이 한쪽에만 있어서 집안에 습기가 너무 많이 찬다. 특히 겨울에는 현관문이나 베란다 창문에서 물이 줄줄 흐를 정도로.. 해가 잘 들어서 겨우내 딱히 난방을 따로 하지 않는데도 별로 춥지 않다. 하지만 여름에는 에어컨 틀어야함. 층간소음으로 불편했던 경험은 없음.
139,가락금호,40대,남자,자가 거주,기혼,5,실제 3년 거주중이고 신가초에 아이보낼 예정인데 정말 살기 좋다,5,"지하철 3,8호선 있어 편리  버스 안가는데 없다  강남   역삼 출퇴근중인데 넘 편하다",5,잠실생활권 좋고 가든파이브 문정 법조타운 좋다  강남 생활권이다,5,현관 차단 되어 있어 편리하고 경비아저씨들 친절하다  살기좋다,5,가락몰 앞에 있어 신선한 식자재 저렴하게 구입가는  대형 롯데마트 앞이라 정말 편리하다
139,가락금호,20대,여자,자가 거주,미혼,5,교통 편리!!!!!!!!!!!!버스나 지하철을 타고 어디든 갈 수 있다. 잠실도 가깝고 주변에 크고 작은 공원이 있어서 좋다. 가락시장역 8호선 3호선 둘다 연결되어있고 송파역도 10분이면 갈 수 있다. 올림픽공원도 걸어갈 수 있음.,5,아무데나 다 갈 수 있다. 짱좋음. 내가 제일 좋아하는 조건. 버스도 엄청 많고 지하철도 잘 되어있다. 역도 가깝다.,5,주변에 마트가 많고 큰 마트는 문정동 롯데마트인데 걸어서 15분이면 갈 수 있다. 공원도 많고 석촌호수나 올림픽공원도 조금 멀지만 걷는걸 좋아한다면 걸어갈 수 있다.,5,깨끗하고 안전하다. 경비 아저씨들도 친절하시고 공용 현관 비밀번호를 집마다 설정할 수 있어서 좋다.,5,나쁜 점을 생각해본 적이 없다. 아래층에서 애가 울면 들리긴 하지만 엄청 신경쓰일 정도는 아니다.
139,가락금호,20대,여자,자가 거주,미혼,5,마트와 학교도 인근에 있고 교통도 너무 편리하다  무엇보다 집에 가는길에 위험한 지역이 없어서 안전하다,5,집에서 3분거리에 버스정류장이 있으며 6분거리에는 3호선 8호선 가락시장역이 있다,5,7분거리 송파 롯데마트가 있고 금호와 우성 사이에 마트가 있고 4분 거리에 작은 이마트도 있다  버섯공원이 뒤에 있어 산책하기 좋다,5,1층에 비밀번호를 설치하고 나서부터 더 안전한 느낌이다 택배도 한번도 분실된적없고 만족한다,4,중앙관리 난방으로 바뀌고 오히려 비싸진 느낌이다  바람이나 일조량은 만족한다
139,가락금호,30대,여자,전세 또는 월세,기혼,4,"신혼부부나 아기 한 명을 키우는 때에 살기 적합하다. 자가용이 없어도 이동이 편리하고, 롯데에 가기도 쉽다.",5,"바로 앞에 버스정류장이 있고, 지하철역이 5분 거리이다. 회사 통근버스들이 많이 다닌다. 잠실에 비해 덜 막혀서 운전하기도 괜찮다.",4,백화점까지의 거리가 멀지는 않지만 산책할만한 녹지가 별로 없다. 공원들과의 거리가 있다.,2,"주차 공간이 비좁고, 지하주차장과 연결이 안 되어있어서 불편하다. 경비실도 동마다 있지 않아서 멀다.",3,"일조량과 층간 소음은 양호하나, 대로변에 있어 환기시키기 힘들다. 차 소음이 심하다."
