danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
50056,더샵포웰시티,40대,남자,자가 거주,기혼,5,"초등학교, 중학교는 2분 거리, 고등학교 8분 거리, 주변 인프라 풍부, 탁원한 강남 접근성, 전국 최고의 자연환경과 뷰! 한번 살아볼 가치가 있는 단지임.",4,교통은 서울보다는 조금 불편 주말에 버스 노선이 자주 없어 기다리는 시간이 조금 길다는 단점. 이것은 준공영제가 없는 모든 경기도에 해당되는 사항임 그러나 경기 어느 지역보다도 서울 접근성 특히 강남 접근성은 탑급으로 손색이 없음,4,"주변환경은 아직상권이 형성 중이지만 불편한 점은 거의 없음, 위례가 바로 코 앞으로 스타필드, 병원, 상가 이용 모두 가능하고, 바로 옆 마천시장 등 인프라 이용 무궁무진함",5,"넓은 동간 거리, 2021년 전국 조경 대상을 받았을 정도로 빼어난 조경시설, 골프연습장, 독서실, 헬스장, 사워장 등 고급스런 커뮤니티센터, 어린이 물 놀이장, 놀이터 등 편의시설 등 단지관리 상급",5,초록의 골프장과 남한산성 정기를 매일 느끼며 눈 뜬다는 것 자체가 축복! 더구나 하늘과 맞닿은 고층은 덤 예전 용인 한화리조트 1박하고 눈떴을때 골프장과 푸른 자연을 보고 한달만 살면 병이 다 낫겠다는 느낌이 들었는데 ..더샵 리조트는 365일 리조트를 느낄 수 있다니 너무 큰 축복임...플러스 지하철이 들어오는 전국 유일의 리조트라니!!!
50056,더샵포웰시티,50대,남자,자가 거주,기혼,5,교통여건은 앞으로 지하철3호선 연장선이 개통되고 시간이 갈수록 개선되어지는것 현실적으로 투자가치를 본다면 교산신도시와 송파구와 인접되어있다는 것만으로도 충분하지 않을까?,3,지하철 이용시 마천역(5호선)을 이용해야 하지만 거리가 다소있음.버스정류장이 단지 바로 앞에있어 좋지만 배차시간이 약간길고 5~6개의 노선이 있는 상태임.교통여건은 그리 좋지않지만 시간이 해결해주는 문제로 생각됨 계속 증편과 노선변경으로 개선해 나가는듯 보임,4,초등학교와 중.고등학교가 가깝게있고 대형마트는 위례스타필드(자차10분이내)가 있고 무엇보다 골프장과 금암산이 가깝게있어 뷰와함께 공기가 무척좋음 아이들 학교가 가까은것도 만족항,4,자체적으로 조경관리도 하고 출입통제도 잘되어지는듯하다.주차문제로 입주민들끼리 대화도 많이하고 전반적으로 단지관리는 입주민들의 노력과 열의로 해겴하려는 노력이 보이며 현재는 각세대 창고를 만드는 공사가 한장이다.완성이 기다려진다,5,올여름 엄청난 무더위속에서  에어컨없으면 어찌했을까 싶다. 최근에 입주한 아파트이기 때문에 겨울은 어떨지....... 층간소음 문제는 전적으로 갠적인 상황이라 어떨지 모르지만 저는 아직까지는 증간소음으로 신경써보지는 않았다. 공동주택이니만큼 각자 조심하며 배려한다면 큰 문제는 없을듯하다.대체로 남향바치가 되어있어 일조량충분.공기좋고 뷰 좋고 거주환경은 아주좋다
50057,포웰시티푸르지오라포레,30대,남자,자가 거주,기혼,4,"언제나 내 집이 최고지만, 교통이 불편한 부분이 있어 1점 뺐음. 버스 많이 생기고, 3호선까지 개통하면 정말 살기좋은 동네가 될 것 같음.",3,"자차이동으로는 더할 나위없이 좋으나, 대중교통이 많이 부족함. 3세대부터는 주차비가 많이 부과되니 참고하시길.",4,"위례 스타필드가 가까워, 오전일찍 혹은 저녁 늦게 방문하여 한적하게 쇼핑할 수 있는게 장점임.",4,"입주초기라 정비가 필요하지만, 점차 개선되어지고 있음. 헬스장과 골프장 운영이 잘 되고 있는 것도 장점임.",5,"서울 근교에서 보기힘든 골프장 조망이 예술임. 대부분 세대에서 골프장 조망이 가능하며, 특히 비올 때 산에서 피어오르는 운무와 맑은 공기는 여기가 서울근교인지 강원도 인지 모를 정도로 환상임."
50057,포웰시티푸르지오라포레,50대,남자,자가 거주,기혼,5,"좋은 입지에, 자연친화적 주변환경, 조용함, 잠실, 올림픽공원 가까움 등 살기에 매우 좋습니다. 서울 근교 리조트에 사는 느낌 납니다. 3호선까지 들어오면 금상첨화이네요",3,교통여건은 현재보다 앞으로 더 좋아질것 같습니다. 버스 노선이 많이 생겨야 할 것 같습니다. 자차로 이동시에는 사통팔달 매우 편함니다.,3,"자연친화적 환경, 공기, 조용함 좋습니다. 편의시설은 현재 부족합니다. 앞으로 좋아질것입니다.",3,신축 아파트단지라 주차장 수도 많고 편리합니다. 청소 상태는 입주 초기라 다소 관리 안되는 듯 하나 앞으로는 좋아질것 같습니다.,4,"햇빛 잘 들어오고, 산이 가까워서 청량한 공기 바람이 순환 잘 됩니다. 동간거리도 넓은 편이라 답답하지 않습니다."
1436,현대3차,30대,남자,전세 또는 월세,기혼,5,지하철 학군 다 갖춰짐 조만간 25년에 생활인프라 크게 들어설 예정이니 걱정 없고 토지가치가 계속 오르고있네 확인해보니 옆동네 2차보다 토지가도 높다,5,9호선 급행 및 5호선 좋아요 아무거나 골라탈 수 있는 장점있고 버스정류장도 바로앞에 양옆으로,5,바로 앞 식자재마트랑 버스정류장  그리고 학교 1분거리에 앞으로 둔촌주공 재건축해서 입주하먼 상권까지 완벽,5,현재 주차장은 부적하지만 이제 리모델링으로 걱정 없다 아직 차단기가 없는데 다들 양보하고 사는거쥬,5,방그조 잘빼져있고 내부만 리모델링해서 살기에도 좋다 구조 리모델링만으로도 학군 인프라 교통 다 누릴수있음
1436,현대3차,20대,여자,자가 거주,미혼,1,가까이에 편의시설이 있지만 관리사무소와 동대표들이 관리에 소홀하다.,3,"지하철까지 도보 15분. 버스정류장이 2개인데 342번은 배차간격이 약 15분 정도라 잘 이용하지 않고, 마을버스 01번은 강변역까지 가서 2호선 탈땐 자주 이용함. 조금 걸어가더라도 지하철까지 가는 게 편함.",5,집 바로 건너편에 gs25가 있고 7-8분 거리에 현대마트가 있어서 편리함. 근처에 일자산 등산로와 공원이 있어서 좋음. 다만 아파트에 어르신들이 많이 사심.,1,원래는 계단청소와 복도 청소를 매주 했었는데 3-4년 전부터 경비원과 청소원을 다 바꾸더니 순찰을 한 개의 층만 돌고 청소도 자주 하지 않는다. 엘리베이터 교체 공사와 같은 눈에 보이는 큰 일에만 힘쓰려고 한다. a동 같은 경우에는 택배를 엘리베이터 옆에 쌓아두는데 워낙 개방된 공간이어서 분실의 위험이 크다. 바퀴벌레가 굉장히 자주 나오는데 소독이라면서 치약 형태의 약을 조금 짜고 간다.,1,"개별난방이고 a동은 일조량도 충분하다. b동은 새로 들어온 빌라단지 때문에 일조량에 문제가 생겼다고 한다. 층간소음이 심해서 위아래, 양옆을 비롯한 대각선 위치의 가정 소음까지 들린다."
1436,현대3차,30대,여자,자가 거주,기혼,4,9호선 개통으로 근처에 출구 있고 초. 중. 고 10분 거리에 있고 단지가 조용한 편이라 아이 기르기에는 최적이다,3,2호선 20분. 근처 5호선 있고 서하남 ic 가까움.  그러나 근처 버스는 많이 있지 않음,5,"근처 20분 거리에 현대백화점. 롯데. 스타필드 있으며 이마트와 홈플, 코스트코 트레이더스가 있고 일자산의 녹지환경과 올림픽공원. 미사리공원이 있어 아이들과 산책. 놀이 가능하다",4,분리수거가 철저해 깨끗하며 출차시 경비의 도움이 가능하다. 경비가 양쪽으로 있어 도움이 용이하다. 택배는 양쪽으로 되어있고 찾아가지 않은 경우 연락이 오므로 택배 분실의 위험이 없다. 그러나 오래된 아파트라 주차환경이 좋진 않다,4,베란다가 앞뒤로 있어 수납이 가능하며 남향으로 해가 잘 들고 뒤 베란다는 응달로 서늘하며 시원하다. 주변이 조용하고 번화가가 없어 아이들에게 위험하지 않다. 그러나 오래된 아파트라 층간 소음은 있다
1436,현대3차,30대,남자,전세 또는 월세,기혼,2,아파트가 오래돼서 주변 아파트 대비 시세가 저렴합니다. 그래도 전세 너무 많이 올랐습니다,2,버스정류장이 앞에 있긴 한데요. 지하철과 거리가 조금 됩니다.,3,중형 마트는 있으나 대형마트는 조금 멀어요. 일자산하고는 가까워서 놀러 가긴 편해요.,3,작은 단지라 그리고 오래돼서 주차장이 너무 협소합니다.,3,확장을 안 한 집이 더 따뜻한 거 같아요. 다만 단지가 크지 않아 관리비가 조금 나와요
2845,올림픽선수기자촌,40대,남자,자가 거주,기혼,5,"재건축 기대와 교통환경좋고 교육환경 최적임. 또한 주변유해시설이 없어 제일 불량한곳이 치킨집, pc방. 젊은부부보다는 자녀키우는 분들과 장년층에게 권합니다",5,"5호선과 9호선의 연결, 조금 걸으면 3호선도 이용가능해서 지내 진입 용이합니다 서하남ic인근이라 골프장 접근성 최고네요",5,서울내 최고인 올림픽공원을 마당처럼 이용가능 주변 유해시설이 없고 단지내  초등학교 중학교 고등학교 각 2개씩 있어 자녀교육에 최적임,4,노후단지지만 단지관리는 전반적으로 쾌적함 주차관리가 허술한 부분이 있음 경비아저씨분들도 친절함,5,"단지가 자연과 어울어져 있어 친환경적임 단지내 실개천과산책로, 텃밭도 보유하고 있어 도심속 전원생활가능함"
2845,올림픽선수기자촌,30대,여자,자가 거주,미혼,5,"생활하기 편리하고 안정적이며 녹지가 충분한 환경,  서울내 교통 편이하면서도 자연친화적이고 깨끗하며 주거적인 곳.",5,"9호선 개통, 급행 이용등으로 서울 전역으로 대중교통 매우 편리.  자차 이동시 바로 올림픽대로, 하남 IC로 빠질 수 있어 교통체증 거의 없고 도로 넓고 쾌적.",5,"녹지조성 좋고 탄천, 산책로, 단지내 유치원부터 남여 초중고교,  동간간격 넓어 여유있고 정서적으로 안정됨.  소음, 유해환경 없음. 안전함. 자연친화적.  올림픽공원이 정원/앞마당이고 각종 공연 이용하기 편리함.",5,"경비아저씨들 친절하고 관리 잘해주심. 안전함.  차단기와 출입관리, 주차관리, 배관 교체등으로 꾸준히 노후된 부분에 대한 개선, 관리가 이루어짐.",5,모든 방에서 일조향이 좋고 옆동과의 거리가 충분해 편안한 환경.  단열 잘 되는 편이고 여름에 많이 덥지 않음. 층간소음이 있다고 하는 분들 있으나 우리집은 거의 느끼지 못함.
