danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
128,광장극동2차,40대,여자,전세 또는 월세,기혼,3,단지가 조용하고 교통도 편리하고 아차산과 한강이용하고 하기엔 좋습니다. 재건축이 되어 새아파트가 되면 정말 좋을 듯 합니다. 주차가 너무 힘들고 아이들이 지상에 주차된 차들 사이로 건너건너 갈 때 걱정되기도 하고 초등학교 갈떄도 건널목만 2~3개 건너야 합니다.,4,광나루역 초 역세권이고 강변북로 올림픽 대로로 바로 갈 수 있어 자차 이용시도 편리합니다. 다만 2호선인 강변역을 이용하려면 도보로는 어렵고 구리에서 넘어오는 만원 버스 타고 가야해서 불편합니다.,3,아차산 등반이나 한강변 산책하기에는 위치가 참 좋습니다. 다만 이동네 메인 마트가 코끼리와 올스타 마트인데 제법 걸어가야 합니다. 단지 상가에 GS 슈퍼가 있어 급할 떄 이용은 편리하나 가격적인 면에서 올스타가 저렴한데 약 도보 10분 걸립니다. 학원들도 올림픽대로 북단 사거리에 대다수가 위치하는데 15~20분 정도 걸어가야 합니다.,3,주차장이 정말..ㅠㅠ 눈 비 올 때 차 밀려면 옷 다 젖고 난리도 아닙니다. 그래도 경비 아저씨께 부탁드리면 도와 주시긴 합니다. 지하 주차장이 없어서 나무밑에 차 세워놓으면 봄에는 나무 진액(?) 같은게 떨어져서 끈적거리고 새 똥도 스트레스입니다. 늦게 들어오면 단지 뺑뺑 돌아야 하나 어떻게든 주차를 하긴 합니다. 다만 3중 주차 된 사이사이 지나갈때 정말 불안불안합니다. 운전 초보자는 차를 못쓰거나 주차 달인이 되실 수 있습니다.,3,"중앙난방이라 매우 춥습니다. 개인적으로 중간에 위치하고, 올수리 한 집이였으나 확장을 했더니 정말 너무너무 춥더라구요. 평생 안신던 집에서 양말을 온 신고 지냈습니다. 특히 내가 원하는 시간에 틀 수 없다는게 불편했습니다.  저녁 먹고 환기 한번 시키고 싶어도 온기 빠질까봐 걱정이더라구요 ㅠㅠ 10시 정도에 보일러 잠시 돌린 후에 훈훈하게 자고 싶어도 그게 안되니 힘들더라구요. 그리고 확장이 넓어 보여서 좋긴 한데 북향방이 2개인데다 하나는 베란다 확장쪽 창문에 전체 창문이라 한기가 느껴지고 거실도 확장하니 썰렁합니다. 안방만 따뜻했네요. 문제는 이렇게 사는데 난방온수비를 포함한 관리비는 비싸서 속상했었습니다. 심지어 여름에 약 10일 정도는 온수가 안나옵니다. 점검기간인가 그렇다네요."
128,광장극동2차,40대,남자,자가 거주,기혼,5,재건축 단지로 향후 전망 매우 유리하고  투자의 가치로도 매우 양호한 단지임 최근 1년 사이 가격 많이 상승했으나 향후 더 오를것으로 기대됨,5,광나루역 인접하여 대중교통 이용이 편리하고 강북강변도로및 올림픽도로 접근이 용이하여 쉽게 고속도로 진입가능 하여 매우 교통원활함,5,버스정류장및 지하철 편리하고 1단지에 대형슈퍼마켓 및 대각선에 먹자골목 형성되어 있어 외식도 편함,5,주차 시설만 빼고 모두 편리함 경비관리 반장님들도 매우 친절하시고 분리수거등 전반적 만족도 굿,5,아파트 오래되어 낙후 된점 있으나 입주시 공사하고 입주하여 신축아파트 부럽지 않으며 동쪽에서 해가 뜨고  한강조망이 가능하여 매우 만족함
128,광장극동2차,30대,여자,자가 거주,기혼,5,"<광장 극동아파트 12년 거주자의 종합적 리뷰> 한강 바로 앞, 아차산 등산로 바로 근처, 지하철 5호선 붙어있음, 공항리무진 바로 앞 정류장. 최고의 학군(일대 아파트단지 중에서도 유일하게 광남 100%인 학군) 길 깨끗하고, 병원이나 마트, 독서실 위주로 유해업서 전혀 없음. 그러나 지하주차장 없어 주차지옥, 중앙난방으로 뜨거운물 콸콸 잘 나오나 내집의 난방을 내가 제어 못함. 종합적으로 재건축시 당연히 주차문제, 난방문제 해결될것이고, 우수한 위치, 학군, 주변 환경으로 랜드마크 급 대규모 아파트 단지이며 그 전에 살기에는 주차실력이 안된다면 난방 문제등으로 매우 괴로움.",5,5호선 광나루역 바로 붙어있음. 공항 리무진 길건너 바로 탐. 강변북로 바로 나갈 수 있음.,5,유해시살 없음. 테크노마트 차량 5분 워커힐 호텔 차량 5분 어린이 대공원 차량 5분 아산병원 강건너 잠실 롯데월드 차량 10분,1,오래된 재건축 추진중인 아파트로 지하주차장 없음 1집당 주차 약 0.7대 꼴로 주차장 지옥. 고난이도 운전 실력 요함.,5,동간 간격 넓음. 일조량 충분. 옛날 아파트라 층간 소음 거의 없음. 중앙 난방으로 난방 제어를 할 수 없음.
128,광장극동2차,40대,여자,자가 거주,기혼,5,깨끗하고 건전하고 조용하고 수준이 좋은 동네라고 생각 됩니다. 교통 좋고 한강 바로 가깝고 뭐 더 이상 바랄건 없어요^^,5,"아파트 주변에 강북 시내로 나가는 버스 및 강남으로 넘어 가는 버스들 그리고 왠만한 버스가 전부 8호선 천호역 1정거장으로, 또 2호선 강변역으로 데려다 줘요. 단지와 5호선은 1분 거리 입니다^^ 인천 공항 대한항공 리무진이 단지 바로 앞에 정차 합니다",5,"광남 초중고의 명성과 메리트로 꼭 필요한 학원과 병원 ,마트,운동센터,스타벅스,뜨레쥬르, 빠리바게트, 폴바셋,투썸 등등맛집 유명 패스트푸드 등 다 있어요. 불필요한 유흥업소 1도 없어서 정말 조용하고 건전한 환경 입니다. 한강 바로 가깝구요",5,경비샘들께서 주차 관련 택배 관련등 정말 신경 많이 써주셔서 참 좋고 감사해요. 단지 청결 관리도 좋구요,5,한강과 가까운 동에 거주해서 인지 몰라도 양쪽 창문응 조금만 열어도 맞바람이 정말 시원해요 그렇다고 겨울에 특별히 추운것도 아니구요 저희집은 남향이라 채광 당연히 좋구요 왠만한 동이 채광에는 모두 만족하는거 같아요
128,광장극동2차,50대,남자,전세 또는 월세,기혼,5,광장동에 이사오는 대부분의 이유가 학교이고  광남 초/중/고 보내기 의해 오는곳이라  광남 초/중 배정받을수 있는 아파트라  교육환경 및 교통 최고임,5,지하철역 단지와 붙어 있고 강변역 가는 버스  무진장 많고 시내로 가는 버스도 중앙차로 전용차선으로 막히지도 않음 최근에 천호대교  버스전용차선 실시로 막히는 경우 많음,5,테크노마트 이용 하면 웬만한건 다 해결됨  주변에 소형마트도 많고 생협매장 이용가능  단지 둘레로 산책길이 조성되어 있어서  매우좋음(한바퀴 도는데 15분쯤),3,주차장 3중 주차 하는거 보고 지인들 다 놀람  경비아저씨들 동별로 있어 잡상인들 없음  택배는 경비초소에서 받아 전달해줌,3,동별로 틀리지만 햇빛 잘들어오고  한강 조망되는 동도 많음  중앙난방이라 좋은점도 있지만 계절바뀔때  난방을 늦거나 빨라 매우 춥게 지내는 상황임
128,광장극동2차,40대,남자,전세 또는 월세,기혼,3,낡은 아파트고 주차장 불편하여  다만 중앙난방이라 장단점이  햇살도 남향이 아닌집은 오전에 일정 시간대만 들어옴,4,광나루역 동마다 다르지만 동네에선 가까운 편  버스로 3~4정거장이면 강변역  한강과 가까워 자전거로 한강가기 좋음,3,편의시설은 강변이나 천호로 이동해야 함  학교는 좋다고 함  아이들 교육에 그래서 적합하다는 말도 있음  아차산으로 등산가기 좋음,3,관리하시는 아저씨들 이중삼중 주차로 좀 애먹으심  현관은 열려있어서 전단지 자주 돌아다님  월요일날이 분리수거임  온수는 일정한 시간대에 가장 뜨거운 물이 나옴,3,집이 낡아서 리모델링해야 좀 좋을듯  층간소음 있는 편  민감한 분 피하시는게 나으실듯  저층은 향에 따라 일조량이 부족
128,광장극동2차,20대,남자,자가 거주,미혼,5,투자하기에는 좋은 아파트이고 한강이 가깝다는 메리트가 크다.,2,아차산역이랑은 가까움. 하지만 지하철역에 사람이 많아서 출퇴근하기 불편함. 가까운 지하철역이 그것뿐임.,3,한강이랑 가까워서 좋고 오래된 아파트지만 비교적 주변 환경에 비해 관리가 잘된다.,1,오래된 아파트 답게 공용현관 관리나 주차관련된 면에서 관리가 잘 안됀다. 특히 주차 헬지옥.,2,일조량은 좋으나 미세먼지가 굉장히 심하다. 놀이터가 작아서 답답하다
128,광장극동2차,20대,여자,자가 거주,미혼,3,동네에 뭐가 없어요  화장품가게 1도 없고 학원이랑 식품점들이 다 꿰참. 코앞이 천호랑 강변이라 불편하진 않은데 동네에서 해결하긴 힘듬,5,코앞에 5호선 3번출구 있음. 걸어서 2분 3분이면 지하철 + 강변역에서 오가는 버스들 때문에 불편한건 없음,5,전에는 슈퍼 하나가 독과점 하다가 급 슈퍼 늘어나더니 경쟁 + 할인 쩔게함 요즘 대형마트 잘 안가고 동네마트에서 장보게 됨,4,크게 문제되는 점 없음. 딱히 불편한거 없는거 봐선 알아서 잘하고 있는듯. 근데 가끔 사이비 옴,3,공용난방이라 조절 못하는게 흠. 일조량 나쁘지 않음. 층간소음은 모르겠는데 같은 층 내에서 방음은 잘 안됨. 앞집 얘기하는거 목소리 커지면 다들림
128,광장극동2차,20대,여자,자가 거주,미혼,5,완전번화가도 아니고 교육환경도 좋고 교통도좋고 편의시설도 다 있으니 (강변에 영화관도있다 구민체육센터 청소년문화센터 등) 정말좋다,5,"5호선 광나루역이 도보 3분거리이고,2호선 강변역으로 도보 20분 버스로 10분이며 동서울터미널도 가깝다",5,한강공원이 있고 강변역에 롯데마트도있고 편의점도 주변에 많고 깨끗하다,5,비밀번호로 들어오는 시스템은 아니나 경비아저씨가 계속 계신다 택배 잃어버린적도없다,5,난방이 중앙난방이라 계속 따뜻하다   햇빛도 잘들어온다 층간소음은 적절한편인거같다
128,광장극동2차,30대,여자,자가 거주,기혼,5,가까이에 테크노마트 롯데마트 천호 현대백화점 워커힐호텔 학군 유흥가 없음 등 주변 편의시설과 교통도 좋고. 차도 근처는 안막히고 마트도 가깝고 여러모로 좋다 한강도 가까워서 산책 가기에도 좋다,5,지하철역 바로 연결되고 버스 정류장 바로 앞이다 강남 접근도 좋고 잠실 구리 접근도 좋다 지하철 타면 고터 등 교통 좋다,5,테크노 마트에 롯데마트가 있고 워커힐 호텔 가까이에있다. 시장도 마트도 가깝고 학군도 좋다 바로옆에 광남 초중고 공립학군이 있고 유흥가도 없다,5,경비아저씨들이 항상 계시고 차가 나가고 들어오는 것을 도와주시고 관리실에서도 말씀드리면 빠른 피드백이 가능하다. 나무도 많도 강 주변이라 한강도 보인다.,5,베란다가 앞뒤로 있어서 빨래하고 수납하기에도 좋고 채광도 좋다 낮엔 불을 켜지 않아도 환하고 저녁엔 조용하다
