danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
17664,암사e편한세상,50대,남자,자가 거주,기혼,5,이편한세상이지만 단지가 작아 알려지지 않은곳 그러기에 매매 또는 전세가 저렴함(2021년 10월기준으로는 매우 많이 오른상태) 단지가 너무 조용해서 좋음 엘리베이터 운행도 움직이지 않는 시간이 더 많음,5,아파트정문에서 버스정류소까지 거리가 30미터 임. 그곳에서 천호역 잠실역 동서울터미널 가는 버스가 있음 명일역사거리에는 더 많은 버스노선이 있음 사가정역 또는 망우역 가는 버스도 있음 집현관(10층)에서 지하철 승강장까지 여유있게 걸으면 10분 걸림,4,"편의점 다수(2분거리) 동네마트(2분) 홈플러스(12분) 이마트(2키로 이내) 임 가벼운운동은2분거리에 있는 프라이어팰리스 이용가능하고 암사역 또는 구리암사대교 앞 방향으로 한강 산책, 운동할수 있음. 고덕산을 거처 보훈병원쪽으로 트레킹 코스있음",5,경비아저씨(2명) 미화원(2명) 모두 친절함 관리소는 소장님 1명이나 거의 입주부터 있던 분이라 최고임,5,햇빛 잘들어오고 발코니에 있는 화단을 철거했을경우 폭이 1.5미터 이상이라 빨래건조에 너무 좋고 자전거도 보관함(다른곳에 사는 사람들이 제일 부러워하는 곳임) 층간소음은 조금 있음
17664,암사e편한세상,40대,남자,전세 또는 월세,기혼,4,"출퇴근하기 좋은 교통입지와 생활시설 금융.학원,병원등이 근접하여 좋고 이편한세상브랜드와 건물은 만족하나 세대수가 조금 아쉬워요",5,"명일역에서 가깝고 단지앞에 버스 정류장이 있어 좋아요 강남,강북 접근이 장점,버스도 여러 노선이 있어서 이동시 대중 교통이 요이합니다",5,"홈플러스.CGV,명일시장, 단지앞의 마트등 생활편의시설 가까워 편리합니다",5,관리비 아주 저렴한데도 관리가 잘 되고 있는 것 같습니다,5,남향에 사는데 2M 넓은 베란다가 빨래 건조와  확장시 넓어 좋아요
17664,암사e편한세상,30대,여자,자가 거주,미혼,4,"가까이에 대형 마트, 백화점도 있고, 한강공원도 걸어 갈 수 있다. 대중교통 및 자가용 이용도 편리하다. 두 동 뿐이라 단지가 적다. 모든게 좋지만, 처음 살아보는 아파트여서 4점을 주었다.",5,"명일역 도보 7분, 서울 끝부분으로 각종 도로 ic가 많아 자가용도 편리",5,"길건너 G마트가 있고, 걸어서 십분이내에 홈플러스와 cgv가 있고, 한강공원에 도보 30분, 버스로 10분이면 갈 수 있다. 버스로 10분이면 이마트와 현대백화점도 있고, 버스로 20분이면 잠실에 갈수 있어 롯데백화점 등도 이용가능하다.",4,"주차공간이 부족하진 않지만, 넉넉하지도 않다. 경비실에서 택배를 잘 보관해주신다.",4,베란다가 매우 넓은편이다. 바람이 시원해 여름에 에어콘 없이도 생활가능하다. 남향인 라인에 살고 있어 좋다. 층간소음은 조금 있다.
17664,암사e편한세상,30대,여자,자가 거주,기혼,4,"대중교통 이용이 편리하고. 단지가 작아서인지 아담하고 조용한 편이다. 전반적인 관리도 잘되어있고, 근처에 대학병원이나 큰 마트도 있고. 고덕산 등산도 도보로 가능하다. 근처 대단지 아파트에 비해 가격도 저렴하여 가격 대비 넓은 평수에 살 수 있다.",4,"집에서 3분 이내에 버스정거장이 있어서 하남 쪽이나 천호 쪽으로 가기용이하고, 10분 정도 거리에 5호선 명일역이 위치해있어서 지하철 이용이 용이하다.",3,"집에서 길하나 만 건너면 꽤 활성화된 마트가 있고, 근처에 홈플러스, 이마트 등 큰 마트도 있고, 버스로 이동시 아웃렛, 백화점도 바로 이용 가능하다. 단 가까운데 공원은 없어서 아쉽다.",4,단지는 작지만 관리비도 비싸진 않은듯하다. 청소하시는 분. 경비아저씨. 모두 3년 동안 바뀌신 분 없다. 특히 청소는 깔끔히 잘 되는듯하다. 단지 주차장에 차가 늘어나 주차공간 아닌 곳에도 주차되어있는 경우가 많다.,4,층간소음이나 옆집의 작은 소음 등으로 불편한 적 없다. 특히 저층임에도 남향으로 확트여있어 해 잘 들고 곰팡이나 결로가 없어서 좋다. 단지가 작아서 놀이터도 한눈에 다 들어와 아이들 놀기에는 안전한듯하다
1280,한신,30대,남자,전세 또는 월세,기혼,3,가격이 저렴하지만 주변 시설이 낙후되어 있음. 차량으로 생활하는 사람에게는 큰 문제 안됨. 주차난 있는편이나 구축은 다 마찬가지.,2,역과 역의 중간쯤이라 걸어가기 가깝지는 않음. 굽은다리역 가는데 작은 오르막 있이 있어 불편. 암사역은 살짝 내리막이지만 걸어서 10분 거리.,3,"굽은다리 역 옆에 홈플러스가 있으나 도보 10분이고, 가까운데는 편의점 뿐. 근처에 시장이 2개 있어서 먹거리 물가는 싼편",3,잘 관리하지만 오래된 아파트. 소단지라 관리비가 싸지는 않음. 놀이터 기구가 더러워서 거의 사용하지 않음. 주차 이중이라 아침저녁으로 차빼는 일 잦음.,4,가리는 아파트 없어서 일조량 좋음. 남향 세대 거주해서 더욱 좋은 듯. 통풍도 잘되어 여름에도 에어컨 없이 지냄. 층간소음 심하지 않음. 가끔 리모델링 소음 정도...
1280,한신,30대,남자,자가 거주,미혼,5,"실거주하기에 정말 좋은 집입니다. 아파트/주변환경 좋고요. 교통같은경우에는 특히 자차 이용하실에 정말 편합니다. 제가 집고를때 우선순위로 보는게 교통이랑 환경이어서, 그점이 너무 좋아 별5개로 추천합니다.",4,"- 자차 있으시면 정말 편한 곳입니다. 올림픽대로까지 가는데 5분도 안 걸리니 강남 갈때도 너무 편하고 서울근교도 편하게 다니네요. - 대중교통 이용해보니 좋습나다. 버스 바로 집앞에 있고 그리고 잠실갈때는 암사역, 종로갈때는 굽은다리역, 천호역 이용했었는데 역들이 멀지 않더라고요. 천호/암사역은 한 10분정도 굽은다리역은 7분정도 소요되었습니다.",5,"홈플러스, 영화관 걸어서다닐수있는점이 너무 좋아요. 또 하나 15분정도 걸으면 한강이 있다는점에 최고네요. 좀만 나가면 백화점, 이마트 있으니 정말 좋아요. 그리고 아파트근처에 마트, 편의점, 헬스장, 병원 등 편의시설은 바로 집근처에있어서 편했네요.",5,소장님부터 경비아저씨분들께서 관리 진짜 잘해주십니다. 분리수거도 요일 제한없이 버리는것도 아주 좋구요,4,"집 환기가 잘 되고, 햇빛 잘 들어오는게 아주 좋습니다. 층간소음은 위아래집에서 이야기 나온적이없었고, 제가 불편하다고 느낀점은 없었습니다. 별하나는 주차장관련으로 뺐습니다. 실거주하시면 느끼실텐데 주차는 생각보다 넉넉합니다. 다만 새벽에 들어올경우 이중주차 하실 가능성이 있기에 하나 뺐습니다."
1280,한신,50대,남자,자가 거주,미혼,2,위치는 좋습니다 역하고 나름 가까운편이구요 가까운곳에 있을꺼 다 있구요 다만 층간소음이 심해서 저같은경우는 너무 예민해지고있네요 이점도 신경써야될부분같습니다,3,걸어서 15분거리에 암사역이있고 또 10분거리에 굽은다리역이있어요 코앞에 사거리로 나오면 버스타는곳도있습니다,4,10분거리에 홈플러스가있습니다 정문앞에 편의점도있구요 집앞사거리에 먹을거리도 좀많고 식당도 다양한편입니다,1,출입통제는 기본적으로 안하구요 택배는 모든택배회사가 문두들기거나 벨한번누르고 복도 문앞에 놓고가는 시스템입니다 경비할아버지들은 너무 연세가많으세요,2,집 구조는 상당히 좋아요 다만 층간소음이 심해요 윗집발소리도 들리고 새벽에 떠드는소리도 들리고 옆집말소리도 들리고 특히나 화장실에서 씻는소리는 화장실 바로 옆방에서 너무 잘들립니다 베란다와 창문이 나무로되어있어 다른집 여닫는소리도 심한편입니다
1280,한신,50대,여자,전세 또는 월세,기혼,5,보안이 완전 철통보안이고   경찰서도 가까워서 안심이 된다  다른 아이 엄마들도   만족하시는것 같다,5,지하철이나   버스이용이 조금 불편하지만   자가용 사용이 편리하게 된 시설이다,4,자가용이나 버스 지하철을 타고   가야하고 조금 멀리 있다는   느낌이 없지않아  있다,4,택배보관이 용이하고  관리비가 보통이다.  경비아저씨께서도  친절하시다,5,층간소음이 조금 크고 조금만   소리내도 아랫집에서 올라노는 경향이 있다.   아이들이 많이 살아서   시끄러운것도 있다
1280,한신,30대,여자,전세 또는 월세,기혼,4,교통이 편리하고 아파트 단지 안에도 깨끗하다   그래서 다른 분들에게도 추천하는 아파트이다  아파트 중에서도 잘 관리가 되지않이서 더러운 아파트들도 있는데 한신 아파트는 그렇지않다,3,버스 정류장이 별로 멀지않다 그래서 매움을 편리하다  그렇지만 차가 조금 막히는게 조금 불편하기도 하다ㅠㅠ  그렇지만 참을만햐서 나쁘지는 않다,4,작은 마트여도 마트가 가깝다 큰 마트로 가야된다면은  단지 근처에 있는 버스 정류장에서 버스를 타고 큰마틀을 가서 물건을 사면 될거같다,5,단지에 경비아저씨가 있으셔서 좋고 복도니 엘리베이터 ?  그런곳들에 쓰레기들이 별로 많지 않아서 좋다  앞으로도 이렇게 잘 관리 되살면 좋겠다,4,햇빛이별로 잘 들지 않아서 조금 그렇다  하지만 햇빛은 집 앞에있는 공원에 가서 충분히 받을수이ㅛ기 때문에 별로 큰 문제는 없다
1280,한신,40대,남자,전세 또는 월세,기혼,5,주변 상가나 교통이 괜찮아서 이용하기에는 큰 불편이 없을거같다 나는 추천한다,4,집앞에서 버스를 바로 탈수 잇으며 주변에 샹각보다 상점이있다,4,주변에 공원이잇어 애완동물을 산책시키거나 애기를 대리고 나가기 좋다,4,택배를 보관하기에 정말 좋운것 겉다 또 주차장은 관리가 조금 안되는거같기도 허지만 다른 아파트에 비하면 괨찮은 편이라고 생각한다,4,햇빛이 잘들어오며 바람리 잘 둘어오지않라 여름에는 덥고 겨울에는 좀 춥다
