danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
5376,인창1단지주공,40대,남자,자가 거주,기혼,5,구리시에서 모든 여건을 다 갖춘 대단지 아파트는 인창동 주공1~6단지 아파트가 유일한것같다. 평수도 신혼부부 또는 장년층 소규모 가족에게 알맞은 20평형대 위주로 되어있고 교육.교통.쇼핑.여가활동.의료.외식.주민센터.보건소.도서관.은행 등등 모든것이 단지외곽에 있어 편하게 살기엔 이만한 위치도 드물다.,5,단지 외곽에 버스정류장이 모여있다. 공항버스도 단지에서 5분거리에 있고 강남진입 버스도 인근에 있어서 매우편하고 인근 구리역 또한 근처에 있다. 향후 8호선 전철역 오픈시 진정한 역세권이 될것이라 교통여건은 구리에서 이만한곳이 없을것 같다.,5,슬리퍼신고 집앞에 극장 및 마트를 다녀올수있는 유일한 대단지 아파트다. 농수산물 센터가 근처에 있어서 신선한 농수산물을 저렴하게 구입가능하다. 백화점.서비스센터.주민센터.은행.병원 또한 주변을 감싸고 있어서 너무 편하다.,5,공동현관 도어가 없어서 보안이 취약한듯 하지만 보안카메라를 많이 설치해놨고 경비아저씨도 상주하고 있어서 인터폰연락시 응대가 매우 빠르다. 다른 아파트는 모르겠지만 여기 1단지는 병적으로 청소를 많이 하는것 같다... 거의 2주에 한번은 전체청소를 하는것 같은데 청소 아주머님 친절하고 거주민 분들도 예의가 밝아서 협조가 빠르고 쓰레기가 비교적 없는것 같다.,5,오래된 아파트 치고는 물.수압도 좋고 단지 내부가 튼튼해서 크렉이나 부식이 적은편이다. 구석 구석 큰 나무들이 많아서 더운 여름엔 그늘처럼 쉴수있고 방음시설을 잘해놔서 도로차량 소음이 적은편이다. 층간소음은 보통이며 동간 거리가 넓고 긴편이라 외부간섭도 덜한편이다.
5376,인창1단지주공,30대,여자,전세 또는 월세,기혼,4,아파트는 연식이 오래됐으나 생활환경이 너무 편리하고 위치가 좋아서 살기가 참좋다. 도보로 왠만한데는 다있어 뚜벅이족한텐 더욱 살기좋고 몇년뒤에 지하철 9호선도 들어올 예정이라 역세권혜택을 누릴수있다.한마디로 연식이 오래된것만 빼면 참좋은 아파트이다.,4,"구리역이 도보 15분이고, 서울로 가는 버스편도 도보 3분거리에 있다. 중랑구로 가는 버스편이 제일많고 상봉역에서 지하철로 환승해서 다닌다. 다만 아쉬운것은 강남이나 서울시내를 한번에 직행으로 가는게 잘없다",4,"도보로 갈수있는 곳에 롯데마트가 있어 편리하다. 편의점도 가까운곳에 많이 있고 도보 5분거리에 홈플러스 익스프레스도 있어 거기에서 장을 많이 보는편이다. 6단지쪽으로 나가면 도서관, 보건소, 공원등 공공기과및 생활편의시설이 많이 있다",3,단지가 오래된 아파트라 주차공간이 항상 부족하다. 단지청소는 청소하는 아주머니들이 항상 상주하고있어 잘되는 편이고 택배도 경비아저씨가 각 초소에 잘모아두시고 보관해주신다. 관리비도 적당한 편이다.,4,난방은 중앙집중식 난방이라 원하지않을때도 난방해야 된다는 단점이 있지만 겨울에 24시간 따뜻하게 지낼수있다는 장점이 있다. 하루종일 따뜻한것에비해 가스비도 적게 나오는 편이다. 일조량은 서향아파트라 저녁까지 햇빛이 들어오는데 여름에는 많이 더운편이다
5376,인창1단지주공,30대,여자,전세 또는 월세,기혼,4,아기키울때 집이항상따뜨5하고 볕도잘들어좋지만 복도식이라 불편하고위험한점도 많다,5,차로강남20분   버스및지하철가까움  버스노선많고 서울로 나가기쉽다,5,백화점 마트 도서관 보건소 우체국 인접위치  도보로 모두이동할수있는거리에 있다,1,오래된아파트이고 복도식이라 보안과 소음 취약하다. 주차는 정말전쟁이고 택배보관도 취약하지만 경비아저씨가 잘맡아주심.,5,남향이라일조량 매우좋고 맞바람불수있는구조라 환기쉽다. 층간소음거의없고 냉난방은 중앙난방이라항상따뜻하다
5376,인창1단지주공,20대,남자,자가 거주,미혼,4,주변에 편의 시설이 멀지않고 가까이 있기때문에 생활하기 편하고 공원도 있어 산책을 할 수 있다. 집이 그리 넓지는 않지만 그래도 생활은 지장이 없고 내부도 깔끔하다,5,차가 많이 막히지 않고 버스정류장은 3분만 걸어가면 바로있다. 구리역도 그리 멀지않아 이동하기 편리하다.,5,조금만 걸어나가면 롯데마트도있고 백화점도 있고 농수산물시장 구리전통시장등 편의 시설이 가까이 있어 편리하다.,4,거의 아파트마다 경비 초소가있어 택배나 어떤것을 문의하기 편하다. 야시장이 열리면 교통 통제가 잘된다. 경비아저씨가 자리를 비우는 시간이 생각보다 많다,4,그리 넓지는 않지만 방이 3개가 있고 구조가 잘짜여있어 생활하기 편하다 베란다도 꽤 넓어 물건을 나두거나 세탁기를 나둘 수 있다. 같은 아파트 다른집에서 공사를 하면 집까지 들리기도 한다.
5376,인창1단지주공,20대,남자,전세 또는 월세,미혼,4,"가까이 롯데마트,롯데아울렛,좀만걸어가면 롯데백화점도있다  또한 지하찰역도 가까워 편리하다 주변환경은 만족한다 층간소음이 조금 있어서 아쉽다",4,정문으로 나가면 버스정류장이 바로 하나잇고 맞은편에도 신호등하나 건너서 걸어가면 바로 정류장이있다 근처 구리역도 10분정도걸어가면있는데 중앙선이라 배차시간이 단점인거같다,5,슈퍼도 단지내에있고 근처에 롯데마트도있다 또한 화요일마다 장이열린다,4,단지대청소도 가끔씩 하는거같다 공용현관이 없는게 단점이다.  택배는 경비실안에 맡겨 잃어버리지는않는거같다,4,냉난방은 잘되는거같다 햇빛도 잘들어온다 층간 소음이 잇는거같다
5376,인창1단지주공,30대,여자,자가 거주,기혼,4,어린아이들 키우기에는 괜찮아요 차없으신 분들께는 최상의 조건 넘 편하고 좋습니다,4,지하철역이 가까이에 있어서 뚜벅이들에게 딱입니다 넘 편하고 좋아요 굿,4,학교 도서관 우체국 백화점 마트 다 걸어서 이동가능 완전편하고 좋습니다 굿,3,좀 오래된 아파트라 시설이 노후되긴 했어요 중앙난방 이라 여름에 물탱크청소로 10일간 온수 안나옴,3,아파트가 너무많고 평수가 작아 아이들이 많아 시끄럽긴해요 주차장도 좁고 복잡한 느낌
5376,인창1단지주공,20대,여자,전세 또는 월세,기혼,5,가까이에 백화점마트공원등등 걸어서갈수있는거리에있어서 주변환걍에 매우만족스럽다 서울로가는 지하철 버스가 다양해 이용이편리하고 한강 왕숙천도 가까워서 좋다,5,서울과 남양주가운데에있어서 교통이편리합니다 구리역지하철이 바로앞에있습니다,5,롯데백화점 롯데마트 롯데아울렛 등등 쇼핑시설이있고 큰공원이있으며 돌다리라는 상업공간시설이있어서 좋다 장을보기편하다는게 가장 큰 장점,3,현관앞 비밀번호누르는게있으면 더 좋을것같다 중앙난방이라 관리비가 적게들어좋지만 아직틀 날씨가아닌데 중앙난방이다보니까 더울때가있다.그럴땐 창문을 연다,5,남향이라 햇빛이 잘 들어온다 겨울엔 따뜻하고 여름엔 시원하다 단지가 크다보니 치안상태가 좋고 오래된아파트지만 상태가 괜찮다
5376,인창1단지주공,20대,남자,자가 거주,미혼,5,정말 있을거 다있고 교통 편하고 마트가 집앞이고해서 불편한게 하나도 없다,5,좀 만 걸어가면 구리역이 있고 집앞에 버스정류장이 많고 버스 종류도 다양 하게 있으며 고속도로 같은 자동차 운행에도 잘 뚫려있다.,5,"백화점도 있고 편의점, 공원시설이 잘되어있고 왕숙천이랑도 가깝다",5,단지는 항상 청소가 되어있고 출입통제는 없다 주차장관리는 잘 모르겠고 택배보관은 상당히 잘 된다. 불편한거 없이 잘 살고있다.,3,난방이 중앙제어인데 큰 불편함은 없다 일조량은 괜찮고 층간 소음은 조금 있다
5376,인창1단지주공,30대,여자,자가 거주,기혼,3,주변에 편의시설이 좋다 마트.아울렛.농수산시장.구리시장.구리역등이 살기는좋다  오래된 아파트이다보니 층간소음이 좀 심한편이다  단지앞 초등학교가 두군데나 있어서 아이들키우기는 좋다,5,3분거리에 구리역있으며 65-1번을타면 서울을 나갈수있고 1115-6을 타면 잠실에 나갈수있다  자가용보다 대중교통이 더 빠르고 편리하다,5,주변에 롯데마트.롯데아울렛.구리역.농수산시장  구리시장등이있어 장볼때 편리하며 왕수천.구리한강시민공원이 있어 계절마다 축제를 해서 아이들 데리고 구경하기 좋다,4,아파트가 20년이 되어 복독식이라 사람들이 다니는 소리가 조금 커서 시끄럽지만 화단이나 놀이터는 관리실에서 잘 관리해주셔서 주변은 깨끗한편이다,5,우선 난방이 중앙이다보니 간절기때 난방을 우리마음대로 틀지 못하는거랑 비올때 집이 습해서 그때는 조금불편하다 하지만 겨울에. 외출시 집에들어오면 따뜻하다 뜨거운물이 365일 잘나온다
5376,인창1단지주공,30대,남자,전세 또는 월세,기혼,5,교통편의 및 생활편의면에서는 서울 못지않게 편리하다 주공아파트라 주변시세보다 저렴하며 더블역세권까지 전망되는 지역이다,5,장점은 지하철역과 10분거리이고 외곽순환도로 진입까지 10분도 채 안걸린다   단점은 도로가 협소하여 차가 막힌다,5,단지 앞 롯데마트 및 아울렛 매장이 있으며 농수산물 시장이 바로 옆에 있어 생활편의 면에서는 최고이다,5,오래된 아파트라 도색등 낙후된 시설이 많지만 전반적으로 깔끔한 편이다 세대수거 많아 관리비도 저렴하다,5,주공아파트라 서비스면적이 없어 같은 평수대비 작은 편이다 베란다 샷시며 화장실등은 교체하지 않으면 사용하기 불편하다
