danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
19328,에코타운3단지,30대,여자,자가 거주,기혼,5,편의와자연을모두느낄수있는 위치.한강조망이 나오는신기한아파트,5,버스가가깝고 고속도로도가까워서 좋다  지하철개통되면 더좋아질듯하다,5,산책로쇼핑몰 등 편리하고 주차용이하다 평수가커서 전반적으로 조용하다 아이키우는 집도 좀 있긴한데 전반적으로 중고등학생자녀가있거나 연령대가높은층이 거주하는거같다,5,관리가잘되고 관리비가평수대비저렴하다 택배는 집앞에 거의두고가서 신경쓸일이 별로없다 현관비번이 집마다달라보안에좋다,5,일조량이 좋다. 층간소음은 윗집에따라 복불복인데 경비실에서 조정을해주는편이다
19328,에코타운3단지,40대,남자,자가 거주,기혼,5,"살아보면 알겠지만  쾌적성,주차문제,주민성향  모두 만족도 좋다.",5,"바로 앞 하남시청으로 나가면 강남,종로등 어디로든 갈 수 있는 대중교통이 있음  그리고 자동차는 바로 뒤에 미사대로를 통해 올림픽대로 나갈 수 있으며  춘천가기도 좋고 하남IC가면 중부고속도로 바로 진입되지 전철만 없다 뿐이지 정말 불편함 없음.  이제 전철만 들어오면 최고가 될 것임.",5,제일 맘에 드는 것은 덕풍천이 바로 옆에 있어  한강까지 산책 및 운동하기 최적임  그리고 요즘 새록새록한게 스타필드까지 도보로 가서 영화보고  맛집에 들려 식사하고 오는 재미는 정말 좋음,5,여테 다른 곳에 많이 살아 봤지만 주차문제는 정말 좋음  2대까지 무료..다른 곳에선 2중주차 빼라 마라 했는 데  여긴 새벽에 들어와도 빈 자리 많음.  다만 주차요건이 너무 좋으니 주택가에서 대는 경우도 있어  관리가 필요,5,남향에 채광 정말 말도 필요없이 좋음  관리비도 정말 저렴하고 중대형이지만 남향이라서 그런지  도시가스도 적게 나옴.
19328,에코타운3단지,30대,여자,자가 거주,기혼,4,"3인 이상 가족, 자차가 있으면 직장이 서울이라도 안락하게 살 수 있을 거라 생각한다. 10분 이내 대형마트들과 복합쇼핑센터, 공원과 산책로, 대중교통, 상가가 있어 편리하고, 아파트는 10년 이상 되었지만 고장이나 보수를 한 적은 없어 살기 좋다. 청소년 자녀가 있는 경우 교육 관련해서는 수준이 보통이라 4점을 주었다.",3,"하남시가 서울 바로 옆이나 대중교통으로는 버스로 30분 기본이다. 자차로도 20-30분 소요. 가까운 서울지역은 강동구, 송파구이며 배차간격은 짧고 차량도 많다. 현재 미사지구 건설로 지하철 공사 중이라 앞으로 더 편리해질 거라 보인다.",4,"스타필드 하남(신세계백화점 포함)이 작년 문을 열면서 그동안 숨겨진 하남시 내 분위기 좋은 카페도 많이 알려졌다. 전형적인 주거도시라 산책로, 중소규모의 공원이 많고, 시 전체적으로 쾌적하다. 이마트, 이마트 트레이더스, 홈플러스가 근처라 장보기도 수월하다. 하지만 대중교통보다는 자차 이용이 더 편하다.",4,"각 1층 공용현관은 세대별 비밀번호 설정해서 출입이 가능하고, 택배는 경비실 보관이 가능하다. 경비실 내 택배 보관장소가 있다. 단지는 전체적으로 깨끗한 편이고 나무도 적당히 있으며, 아이들 놀이터도 위생적이라 만족한다.",4,"각 동별, 층별 차이는 있겠으나 10층 이상은 전망이 나쁘지 않다. 특히 동에 따라서는 한강과 강 건너까지 보인다. 햇빛도 잘 들지만 많이 건조해서 겨울철에는 빨래를 꼭 거실에 둔다. 한밤중에 성인 남자가 세게 걸으면 그 소리가 들려 층간소음은 보통 정도다."
19328,에코타운3단지,20대,여자,전세 또는 월세,미혼,5,근처에 백화점 홈플러스 등등 접근성이 좋고 교통도 편리합니다. 또 지은 지 그렇게 오래된 집은 아니어서 깨끗하고 살기 좋습니다. 층간소음은 경비아저씨를 통해 해결이 되기 때문에 상관없습니다,5,버스가 가까이 있고 잠실 천호 등등 서울시내쪽으로 바로 가는 노선이 있어서 좋아요,5,근처에 마트 홈플러스 맥도널드 스타벅스가 다 있고 걸어서 10분 거리에 스타필드까지 있어서 접근성이 무지 좋습니다,5,청소 아주머니께서 항상 깨끗하게 청소하시고 출입은 비밀번호를 아래 1층 문과 현관문까지 있어서 좋아요 택배는 경비아저씨께서 잘 관리해주셔서 좋아요,3,냉난방이나 일조량은 좋으나 방음은 잘 안되어있는 거 같습니다. 전에 이웃집에서 심하게 싸우는 소리가 엄청 크게 들릴 정도였으니까요
19328,에코타운3단지,20대,여자,전세 또는 월세,미혼,4,주변 환경이 도시생활을 좋아하는 분들이라면 추천. 층간소음만 견뎌낼 수 있으면 아주 좋은 아파트인듯하다,3,"시청 앞쪽으로 조금만 걸어나가면 천호, 잠실, 강변, 강남, 버스가 있고 서울역까지 가는 좌석도 있어 버스 이용이 용이하나 주변의 스타필드 때문에 휴일은 하남시내가 차량이 많아졌다",5,"도보 5분 거리에 홈플러스 스타필드도 도보로 7,8분이면 이용 가능하며 현대베스코아 상가도 지근거리에 있어 쇼핑인 장보기에 용이하다",5,항상 깨끗하고 택배 관리도 매우 잘 되어 아주 좋다 현관 비밀번호는 가정마다 따로 정해서 이용하니 잡상인을 본 적이 없다,3,"층간소음은 피할 수 없을 듯.. 오래된 아파트다 보니 이웃 간의 배려가 많이 필요하다 통풍이나 환기는 잘 되며, 냉난방은 신경 써서 해야 함."
19328,에코타운3단지,30대,여자,자가 거주,기혼,4,"가까이에 대형마트, 백화점도 있고 자전거도로와 산책로가 서울까지도 연결되어 매우 만족스럽다.  전체적으로 추천할만하다.",4,버스정류장은 걸어서 7분 정도 소요된다.  서울로 가는 버스들이 많이 있어서 편하다.  자동차로 이동하는 것도 편하다.,4,"차로는 5분, 걸어서는 20분 거리에 스타필드가 있다. (신세계백화점, 이마트 트레이더스 등)  산책로도 완벽하다.  편의점은 걸어서 7분 정도 소요",4,단지 청소는 깨끗하게 관리되는 편이다.  출입통제도 입주민 스티커가 없으면 동호수를 확인하고  주차 단속도 한다.  택배보관도 깔끔하게 잘 되어있다.,3,햇빛도 잘 들어오고 냉난방도 괜찮다.  지어진지 10년 이상되서 보일러 문제로 온수가 가끔 말썽이었지만 수리하면 해결된다.  제일 문제는 층간소음이다.
19328,에코타운3단지,20대,남자,자가 거주,미혼,5,"하남시에서 주변 환경, 교통, 접근성, 편의시설들을 이용하기에 가장 적합하지 싶음",5,"걸어서 5분 거리에 잠실, 강남, 강변 등으로 가는 버스들이 있고 택시 정류소가 있음.  단 팔당대교 덕소 방면은 주로 정체되어 있고 특히 주말엔 건너갈 수가 없을 만큼 막힘",5,"홈플러스, 시청 및 관공서, 스타필드와 도보로 10분, 차량으로 3분",5,외부차량 출입 시 확인이 필요하고 단지가 조용하다. 택배 또한 경비실에서 직접 받고 서명을 받기 때문에 분실의 우려가 적응,5,지하주차장이 매우 넓고 주변에 초중고가 있으며 맥도널드 및 여러 프랜차이즈 카페들과 매우 가까움
19328,에코타운3단지,30대,여자,자가 거주,미혼,5,연식에 비해 새것이다.  단지가 커서 관리비가 상대적으로 저렴하다.,5,버스정류장이 가까움.  지하철역은 앞으로 생길 건데 크게 말지는 않을 듯함.  서울에 나가기는 다소 멀다.,5,마트와 스타필드 가까움.  마트는 이미트 홈플러스 트레이더스 등이 있음.  검단산에 차 타고 십 분 정도 걸림.,5,경비원분들이 친절함.  수요일마다 분리수거 하는 점은 조금 불편함.  지하주차장이 잘 관리됨.,4,나쁜 점이 없었음.  주변에 학교와 개천이 있어 조용하고 운동하기 좋음.
19328,에코타운3단지,20대,여자,전세 또는 월세,미혼,3,돈 되면 살아보는것도 나쁘지않음 다만 윗층에 애들이 없는집인지 있는집인지는 운에 따라 달라짐 그리고 윗집에서 싸우는소리 아랫집이 노래부르는소리 다들려서 정말ㅋㅋㅋㅋㅋ 사생활보호 잘 안됨...,5,단지를 조금만 나서면 앞에 버스정류장이 있어서 편리하고 지하주차장이 넓음,5,스타필드 들어오고 홈플러스도 가깝고 잘 정비된 하천도있고 살기 좋음,4,엘리베이터 바닥이 오래돼서 얼룩져 지저분해보임 엘리베이터가 잘 고장남 비상계단에서 담배 엄청 피워대는 무개념들이 많음,2,일조량은 좋은데 젊은 부부들이 많이살아서 애들이 층간소음 엄청냄
19328,에코타운3단지,30대,여자,전세 또는 월세,기혼,3,그럭저럭 나쁘지 않음. 하남지역에서 중간정도 되는 아파트 같음. 앞으로 하남에 새 아파트가 많이 지어지면 노후화될듯. 하남이 전반적으로 교통이 불편한데 그건 5호선 개통되기 전까진 어쩔 수 없는 듯. 5호선 개통시 도보 10분내에 지하철 역 생길 예정,3,걸어서 5분 거리에 버스 정류장 있음. 강동이나 강남쪽 출근 버스 있음. 자가용 이용시 올림픽대로 타면 강변까지 출근할 경우 약 40분 걸림,3,홈플러스 도보 이용가능. 자가용 이용시 스타필드 매우 가까움. 단지 입구 편의점 있음. 산책로는 없음. 주변에 노후된 주택 많음,3,지하 주차장 일층밖에 없어서 겨울 여름에 주차장 협소함. 주차장 청소 정기적으로 잘 이루어짐. 택배 보관은 중앙 초소에서 일괄하기 때문에 가지러 갈 때 좀 번거로움,3,동마다 다름. 전체적으로 조용한 편. 윗집에 아이가 살지 않아서 층간소음 모르겠음.
